,Imagem,Nome,Descrição,Ingredientes,Energia / Saúde,Bônus,Duração do Bônus,Fonte da Receita,Preço de Venda
91,,Rainha do Molho,,,,,,,
92,,"7 Primavera, Ano 1",,,,,,,
93,,Avelãs torradas,O processo de torra dá um rico sabor de floresta.,Avelã  (3),175  78,,,"Rainha do Molho  28 Verão, Ano 2",270 ouros
94,,Rainha do Molho,,,,,,,
95,,"28 Verão, Ano 2",,,,,,,
96,,Torta de abóbora,"Sabor extremamente delicado, crosta seca e crocante.",Abóbora  (1)  Farinha de trigo  (1)  Leite  (1)  Açúcar  (1),225  101,,,"Rainha do Molho  21 Winter, Year 1",385 ouros
97,,Rainha do Molho,,,,,,,
98,,"21 Winter, Year 1",,,,,,,
99,,Salada de rabanete,Os rabanetes são tão crocantes!,Óleo  (1)  Vinagre  (1)  Rabanete  (1),200  90,,,"Rainha do Molho  21 Primavera, Ano 1",300 ouros
100,,Rainha do Molho,,,,,,,
101,,"21 Primavera, Ano 1",,,,,,,
102,,Salada de frutas,Uma combinação deliciosa de frutas de verão.,Mirtilo  (1)  Melão  (1)  Damasco  (1),263  118,,,"Rainha do Molho  7 Outono, Ano 2",450 ouros
103,,Rainha do Molho,,,,,,,
104,,"7 Outono, Ano 2",,,,,,,
105,,Mexido de amoras,Não tem nada igual.,Amora  (2)  Açúcar  (1)  Farinha de trigo  (1),175  78,,,"Rainha do Molho  14 Outono, Ano 2",260 ouros
106,,Rainha do Molho,,,,,,,
107,,"14 Outono, Ano 2",,,,,,,
108,,Doce de oxicoco,Doce o suficiente para mascarar o amargor da fruta.,Oxicoco  (1)  Maçã  (1)  Açúcar  (1),125  56,,,"Rainha do Molho  28 Inverno, Ano 1",175 ouros
109,,Rainha do Molho,,,,,,,
110,,"28 Inverno, Ano 1",,,,,,,
111,,Brusqueta,Tomates assados em pão branco crocante.,Pão  (1)  Óleo  (1)  Tomate  (1),113  50,,,"Rainha do Molho  21 Inverno, Ano 2",210 ouros
112,,Rainha do Molho,,,,,,,
113,,"21 Inverno, Ano 2",,,,,,,
114,,Salada de repolho,"Leve, fresquinha e saudável.",Repolho roxo  (1)  Vinagre  (1)  Maionese  (1),213  95,,,"Rainha do Molho  14 Primavera, Ano 1",345 ouros
115,,Rainha do Molho,,,,,,,
116,,"14 Primavera, Ano 1",,,,,,,
117,,Risoto de samambaia,Um prato de arroz cremoso com samambaias salteadas. É meio insosso.,Óleo  (1)  Broto de samambaia  (1)  Alho  (1),225  101,,,"Rainha do Molho  28 Outono, Ano 2",350 ouros
118,,Rainha do Molho,,,,,,,
119,,"28 Outono, Ano 2",,,,,,,
120,,Bolinho de papoula,Possui efeito calmante.,Papoula  (1)  Farinha de trigo  (1)  Açúcar  (1),150  67,,,"Rainha do Molho  7 Inverno, Ano 2",250 ouros
121,,Rainha do Molho,,,,,,,
122,,"7 Inverno, Ano 2",,,,,,,
123,,Sopa de peixe,Para se esquentar após uma noite fria no mar.,Concha  (1)  Leite  (1),225  101,Pesca  (+1),16min47s,Willy  (Correio - 3+  ),135 ouros
124,,Guisado de peixe,Tem cheiro de mar. Mas o gosto é melhor.,Lagostim  (1)  Mexilhão  (1)  Caramujo  (1)  Tomate  (1),225  101,Pesca  (+3),16min47s,Willy  (Correio - 7+  ),175 ouros
125,,Escargô,Lesmas cobertas de manteiga e cozidas com perfeição.,Lesma  (1)  Alho  (1),225  101,Pesca  (+2),16min47s,Willy  (Correio- 5+  ),125 ouros
126,,Bisque de lagosta,Esta sopa delicada é uma receita secreta de família do Willy.,Lagosta  (1)  Leite  (1),225  101,Pesca  (+3)  Energia Máxima  (+50),16min47s,"Rainha do Molho  14 Inverno, Ano 2  Willy  (Correio - 9+  )",205 ouros
127,,Rainha do Molho,,,,,,,
128,,"14 Inverno, Ano 2",,,,,,,
129,,Pão de ácer,Uma rosquinha doce coberta com ácer.,Xarope de ácer  (1)  Açúcar  (1)  Farinha de trigo  (1),225  101,Cultivo  (+1)  Pesca  (+1)  Mineração  (+1),16min47s,"Rainha do Molho  14 Verão, Ano 2",300 ouros
130,,Rainha do Molho,,,,,,,
131,,"14 Verão, Ano 2",,,,,,,
132,,Bolinhos de caranguejo,"Caranguejo, pão e ovo achatados e fritos até ficarem dourados.",Caranguejo  (1)  Farinha de trigo  (1)  Ovo  (1)  Óleo  (1),225  101,Velocidade  (+1)  Defesa  (+1),16min47s,"Rainha do Molho  21 Outono, Ano 2",275 ouros
133,,Rainha do Molho,,,,,,,
134,,"21 Outono, Ano 2",,,,,,,
135,,Coquetel de Camarão,Um aperitivo suntuoso feito com camarão fresco.,Tomate  (1)  Camarão  (1)  Raiz-forte  (1),225  101,Pesca  (+1)  Sorte  (+1),10min2s,"Rainha do Molho  28 Inverno, Ano 2",160 ouros
136,,Rainha do Molho,,,,,,,
137,,"28 Inverno, Ano 2",,,,,,,
138,,Ginger Ale,Um refrigerante picante conhecido por seus efeitos acalmantes no estomâgo.,Gengibre  (3)  Açúcar  (1),63  28,Sorte  (+1),5min,Loja da Caverna do Vulcão  por  1 000 ouros,200 ouros
139,,Pudim de Banana,Uma sobremsa cremosa com um incrível sabor tropical.,Banana  (1)  Leite  (1)  (Qualquer)  Açúcar  (1),125  56,Mineração  (+1)  Sorte  (+1)  Defesa  (+1),5min1s,Comerciante da Ilha,260 ouros
140,,Arroz Doce de Manga,Manga doce e coco tornam este arroz em algo muito especial.,Manga  (1)  Coco  (1)  Arroz  (1),113  50,Defesa  (+3),5min1s,Leo  (Correio - 7+  ),250 ouros
141,,Poi,Uma comida tradicional com um sabor delicado e doce quando está fresca.,Inhame-coco  (4),75  33,,,Leo  (Correio - 3+  ),400 ouros
142,,Curry Tropical,Um exótico e aromático curry servido em uma tigela de abacaxi.,Coco  (1)  Abacaxi  (1)  Pimenta quente  (1),150  67,Coleta  (+4),5min1s,Resort da Praia,500 ouros
143,,Ravioli de Tinta de Lula,Temporariamente protege de efeitos negativos.,Tinta de Lula  (1)  Farinha de trigo  (1)  Tomate  (1),125  56,Mineração  (+1)  Bônus de Ravioli  de Tinta de Lula,4min39s (Mineração)  2min59s (Bônus de Ravioli),Combate  (Nível 9),150 ouros
