,Imagem,Nome,Descrição,Preço,Local
31,,Escápula pré-histórica,"Também conhecida como ""omoplata""... Não se sabe a qual espécie ela pertenceu.",100 ouros,Cidade (1%)  Floresta (?%)
32,,Tíbia pré-histórica,Um osso da perna grosso e resistente.,100 ouros,Floresta (1%)  Ferrovia (?%)
33,,Caveira pré-histórica,Definitivamente o crânio de um mamífero.,100 ouros,Montanha (1%)
34,,Mão de esqueleto,É maravilhoso como essas pecinhas duraram tanto.,100 ouros,Praia (1%)  Backwoods (?%)
35,,Costela pré-história,As pequenas marcas de uma goiva sugerem que esta costela já foi o jantar de alguém.,100 ouros,Cidade (1%)
36,,Vértebra pré-histórica,Um segmento da espinha de alguma criatura pré-histórica.,100 ouros,Parada de Ônibus (1%)
37,,Esqueleto de cauda,É muito curta para uma cauda.,100 ouros,Mina (1%)  Baú de Pesca
38,,Fóssil de náutilo,Deve ter desbotado décadas atrás de um recife de coral antigo.,80 ouros,Praia (3%)  Baú de Pesca
39,,Fóssil de anfíbio,Suas pernas relativamente curtas sugerem uma espécie de sapo primordial.,150 ouros,Floresta (1%)  Montanha (1%)  Baú de Pesca
40,,Fóssil de Palma,"Fósseis de palma são relativamente comuns, mas este é um espécime particularmente bem conservado.",100 ouros,Floresta (1%)  Praia (1%)  Deserto (1%)
41,,Trilobita,Um parente há muito tempo extinto do caranguejo.,50 ouros,Floresta (3%)  Praia (3%)  Montanha (3%)
