,Image,Nome,Descrição,Preço,Pescador (+25%),Mestre Pescador (+50%),Local,Hora,Estação,Clima,Tamanho (cm),Comportamento,EXP Base,Usado em
33,,121 ouros,,,,,,,,,,,,
34,,162 ouros,,,,,,,,,,,,
35,,97 ouros,,,,,,,,,,,,
36,,121 ouros,,,,,,,,,,,,
37,,145 ouros,,,,,,,,,,,,
38,,195 ouros,,,,,,,,,,,,
39,,Bagre,Um peixe incomum encontrado em correntes.,200 ouros  250 ouros  300 ouros  400 ouros,250 ouros  312 ouros  375 ouros  500 ouros,300 ouros  375 ouros  450 ouros  600 ouros,Rio(Cidade+Floresta)  Lago do Bosque Secreto  Pântano da bruxa,6:00 - 00:00,Primavera  Outono  (  Primavera  &  Verão  no  Lago do Bosque Secreto  ),Chuva,30-185,75 misto,28.0,Conjunto Peixes de Rio  Willy  (presente amado)
40,,200 ouros,,,,,,,,,,,,
41,,250 ouros,,,,,,,,,,,,
42,,300 ouros,,,,,,,,,,,,
43,,400 ouros,,,,,,,,,,,,
44,,250 ouros,,,,,,,,,,,,
45,,312 ouros,,,,,,,,,,,,
46,,375 ouros,,,,,,,,,,,,
47,,500 ouros,,,,,,,,,,,,
48,,300 ouros,,,,,,,,,,,,
49,,375 ouros,,,,,,,,,,,,
50,,450 ouros,,,,,,,,,,,,
51,,600 ouros,,,,,,,,,,,,
52,,Lúcio,Um peixe de água doce difícil de pegar.,100 ouros  125 ouros  150 ouros  200 ouros,125 ouros  156 ouros  187 ouros  250 ouros,150 ouros  187 ouros  225 ouros  300 ouros,Rio (Cidade+Floresta)  Lago da Floresta,Qualquer hora,Verão  Inverno,Qualquer,38-155,60 dardo,23.0,
53,,100 ouros,,,,,,,,,,,,
54,,125 ouros,,,,,,,,,,,,
55,,150 ouros,,,,,,,,,,,,
56,,200 ouros,,,,,,,,,,,,
57,,125 ouros,,,,,,,,,,,,
58,,156 ouros,,,,,,,,,,,,
59,,187 ouros,,,,,,,,,,,,
60,,250 ouros,,,,,,,,,,,,
61,,150 ouros,,,,,,,,,,,,
62,,187 ouros,,,,,,,,,,,,
63,,225 ouros,,,,,,,,,,,,
64,,300 ouros,,,,,,,,,,,,
65,,Peixe-sol,Um peixe muito comum em rios.,30 ouros  37 ouros  45 ouros  60 ouros,37 ouros  46 ouros  56 ouros  75 ouros,45 ouros  55 ouros  67 ouros  90 ouros,Rio(Cidade+Floresta),6:00 - 19:00,Primavera  Verão,Sol  Vento,13-41,30 misto,13.0,Conjunto Peixes de Rio  Peixe cozido
66,,30 ouros,,,,,,,,,,,,
67,,37 ouros,,,,,,,,,,,,
68,,45 ouros,,,,,,,,,,,,
69,,60 ouros,,,,,,,,,,,,
70,,37 ouros,,,,,,,,,,,,
71,,46 ouros,,,,,,,,,,,,
72,,56 ouros,,,,,,,,,,,,
73,,75 ouros,,,,,,,,,,,,
74,,45 ouros,,,,,,,,,,,,
75,,55 ouros,,,,,,,,,,,,
76,,67 ouros,,,,,,,,,,,,
77,,90 ouros,,,,,,,,,,,,
78,,Salmonete,"Há muito tempo, este peixe era mantido como animal de estimação.",75 ouros  93 ouros  112 ouros  150 ouros,93 ouros  116 ouros  140 ouros  187 ouros,112 ouros  139 ouros  168 ouros  225 ouros,Oceano,6:00 - 19:00,Verão  Inverno,Qualquer,20-58,55 suave,21.0,
79,,75 ouros,,,,,,,,,,,,
80,,93 ouros,,,,,,,,,,,,
81,,112 ouros,,,,,,,,,,,,
82,,150 ouros,,,,,,,,,,,,
83,,93 ouros,,,,,,,,,,,,
84,,116 ouros,,,,,,,,,,,,
85,,140 ouros,,,,,,,,,,,,
86,,187 ouros,,,,,,,,,,,,
87,,112 ouros,,,,,,,,,,,,
88,,139 ouros,,,,,,,,,,,,
89,,168 ouros,,,,,,,,,,,,
90,,225 ouros,,,,,,,,,,,,
91,,Polvo,Uma criatura misteriosa e inteligente.,150 ouros  187 ouros  225 ouros  300 ouros,187 ouros  233 ouros  281 ouros  375 ouros,225 ouros  280 ouros  337 ouros  450 ouros,Oceano,6:00 - 13:00,Verão,Qualquer,30-124,95 pesado,34.0,Willy  (presente amado)
92,,150 ouros,,,,,,,,,,,,
93,,187 ouros,,,,,,,,,,,,
94,,225 ouros,,,,,,,,,,,,
95,,300 ouros,,,,,,,,,,,,
96,,187 ouros,,,,,,,,,,,,
97,,233 ouros,,,,,,,,,,,,
98,,281 ouros,,,,,,,,,,,,
99,,375 ouros,,,,,,,,,,,,
100,,225 ouros,,,,,,,,,,,,
101,,280 ouros,,,,,,,,,,,,
102,,337 ouros,,,,,,,,,,,,
103,,450 ouros,,,,,,,,,,,,
104,,Cioba,Um peixe popular com uma bonita cor vermelha.,50 ouros  62 ouros  75 ouros  100 ouros,62 ouros  77 ouros  93 ouros  125 ouros,75 ouros  93 ouros  112 ouros  150 ouros,Oceano,6:00 - 19:00,Verão  Outono  Inverno  com  Totem de chuva,Chuva,20-66,40 misto,16.0,Conjunto Peixes de Oceano
105,,50 ouros,,,,,,,,,,,,
106,,62 ouros,,,,,,,,,,,,
107,,75 ouros,,,,,,,,,,,,
108,,100 ouros,,,,,,,,,,,,
109,,62 ouros,,,,,,,,,,,,
110,,77 ouros,,,,,,,,,,,,
111,,93 ouros,,,,,,,,,,,,
112,,125 ouros,,,,,,,,,,,,
113,,75 ouros,,,,,,,,,,,,
114,,93 ouros,,,,,,,,,,,,
115,,112 ouros,,,,,,,,,,,,
116,,150 ouros,,,,,,,,,,,,
117,,Superpepino,Uma variedade rara e púrpura de pepino-do-mar.,250 ouros  312 ouros  375 ouros  500 ouros,312 ouros  390 ouros  468 ouros  625 ouros,375 ouros  468 ouros  562 ouros  750 ouros,Oceano  Oceano da  Ilha Gengibre,18:00 - 2:00,Verão  Outono,Qualquer,30-94,80 pesado,29.0,Feiticeiro  (presente amado)
118,,250 ouros,,,,,,,,,,,,
119,,312 ouros,,,,,,,,,,,,
120,,375 ouros,,,,,,,,,,,,
121,,500 ouros,,,,,,,,,,,,
122,,312 ouros,,,,,,,,,,,,
123,,390 ouros,,,,,,,,,,,,
124,,468 ouros,,,,,,,,,,,,
125,,625 ouros,,,,,,,,,,,,
126,,375 ouros,,,,,,,,,,,,
127,,468 ouros,,,,,,,,,,,,
128,,562 ouros,,,,,,,,,,,,
129,,750 ouros,,,,,,,,,,,,
130,,Esturjão,Um antigo peixe de fundo com uma população em queda. As fêmeas podem viver até 150 anos.,200 ouros  250 ouros  300 ouros  400 ouros,250 ouros  312 ouros  375 ouros  500 ouros,300 ouros  375 ouros  450 ouros  600 ouros,Lago da Montanha,6:00 - 19:00,Verão  Inverno,Qualquer,30-155,78 misto,29.0,Conjunto Peixes de Lago  Willy  (presente amado)
131,,200 ouros,,,,,,,,,,,,
132,,250 ouros,,,,,,,,,,,,
133,,300 ouros,,,,,,,,,,,,
134,,400 ouros,,,,,,,,,,,,
135,,250 ouros,,,,,,,,,,,,
136,,312 ouros,,,,,,,,,,,,
137,,375 ouros,,,,,,,,,,,,
138,,500 ouros,,,,,,,,,,,,
139,,300 ouros,,,,,,,,,,,,
140,,375 ouros,,,,,,,,,,,,
141,,450 ouros,,,,,,,,,,,,
142,,600 ouros,,,,,,,,,,,,
143,,Tilápia,Um peixe herbívoro que prefere água quente.,75 ouros  93 ouros  112 ouros  150 ouros,93 ouros  116 ouros  140 ouros  187 ouros,112 ouros  139 ouros  168 ouros  225 ouros,Oceano  Rios da  Ilha Gengibre,6:00 - 14:00,Verão  Outono,Qualquer,28-79,50 misto,19.0,Conjunto Peixes de Oceano
144,,75 ouros,,,,,,,,,,,,
145,,93 ouros,,,,,,,,,,,,
146,,112 ouros,,,,,,,,,,,,
147,,150 ouros,,,,,,,,,,,,
148,,93 ouros,,,,,,,,,,,,
149,,116 ouros,,,,,,,,,,,,
150,,140 ouros,,,,,,,,,,,,
151,,187 ouros,,,,,,,,,,,,
152,,112 ouros,,,,,,,,,,,,
153,,139 ouros,,,,,,,,,,,,
154,,168 ouros,,,,,,,,,,,,
155,,225 ouros,,,,,,,,,,,,
156,,Dourado,Um carnívoro inclemente com escamas laranjas brilhantes.,100 ouros  125 ouros  150 ouros  200 ouros,125 ouros  156 ouros  187 ouros  250 ouros,150 ouros  187 ouros  225 ouros  300 ouros,Rio (Floresta),6:00 - 19:00,Verão,Qualquer,61-84,78 misto,29.0,
157,,100 ouros,,,,,,,,,,,,
158,,125 ouros,,,,,,,,,,,,
159,,150 ouros,,,,,,,,,,,,
160,,200 ouros,,,,,,,,,,,,
161,,125 ouros,,,,,,,,,,,,
162,,156 ouros,,,,,,,,,,,,
163,,187 ouros,,,,,,,,,,,,
164,,250 ouros,,,,,,,,,,,,
165,,150 ouros,,,,,,,,,,,,
166,,187 ouros,,,,,,,,,,,,
167,,225 ouros,,,,,,,,,,,,
168,,300 ouros,,,,,,,,,,,,
169,,Linguado,"Ele vive no fundo, então os dois olhos estão no topo da cabeça.",100 ouros  125 ouros  150 ouros  200 ouros,125 ouros  156 ouros  187 ouros  250 ouros,150 ouros  187 ouros  225 ouros  300 ouros,Oceano  Oceano da  Ilha Gengibre,6:00 - 20:00,Primavera  Verão,Qualquer,10-43,50 pesado,19.0,Pudim de espuma do mar
170,,100 ouros,,,,,,,,,,,,
171,,125 ouros,,,,,,,,,,,,
172,,150 ouros,,,,,,,,,,,,
173,,200 ouros,,,,,,,,,,,,
174,,125 ouros,,,,,,,,,,,,
175,,156 ouros,,,,,,,,,,,,
176,,187 ouros,,,,,,,,,,,,
177,,250 ouros,,,,,,,,,,,,
178,,150 ouros,,,,,,,,,,,,
179,,187 ouros,,,,,,,,,,,,
180,,225 ouros,,,,,,,,,,,,
181,,300 ouros,,,,,,,,,,,,
182,,Alocine,"Vive em cardumes em água salgada, mas volta aos rios para se reproduzir.",60 ouros  75 ouros  90 ouros  120 ouros,75 ouros  93 ouros  112 ouros  150 ouros,90 ouros  112 ouros  135 ouros  180 ouros,Rio (Cidade+Floresta),9:00 - 2:00,Primavera  Verão  Outono,Chuva,51-124,45 suave,18.0,Conjunto Peixes de Rio
183,,60 ouros,,,,,,,,,,,,
184,,75 ouros,,,,,,,,,,,,
185,,90 ouros,,,,,,,,,,,,
186,,120 ouros,,,,,,,,,,,,
187,,75 ouros,,,,,,,,,,,,
188,,93 ouros,,,,,,,,,,,,
189,,112 ouros,,,,,,,,,,,,
190,,150 ouros,,,,,,,,,,,,
191,,90 ouros,,,,,,,,,,,,
192,,112 ouros,,,,,,,,,,,,
193,,135 ouros,,,,,,,,,,,,
194,,180 ouros,,,,,,,,,,,,
195,,Halibute,Um peixe chato que vive no fundo do oceano.,80 ouros  100 ouros  120 ouros  160 ouros,100 ouros  125 ouros  150 ouros  200 ouros,120 ouros  150 ouros  180 ouros  240 ouros,Oceano  e  lago da montanha  | 6:00 - 11:00  19:00 - 2:00,Primavera  Verão  Inverno,Qualquer,25-86,50 pesado,19,,
196,,80 ouros,,,,,,,,,,,,
197,,100 ouros,,,,,,,,,,,,
198,,120 ouros,,,,,,,,,,,,
199,,160 ouros,,,,,,,,,,,,
200,,100 ouros,,,,,,,,,,,,
201,,125 ouros,,,,,,,,,,,,
202,,150 ouros,,,,,,,,,,,,
203,,200 ouros,,,,,,,,,,,,
204,,120 ouros,,,,,,,,,,,,
205,,150 ouros,,,,,,,,,,,,
206,,180 ouros,,,,,,,,,,,,
207,,240 ouros,,,,,,,,,,,,
208,,Peixe-carmim,"Vive nas profundezas do oceano, mas gosta de colocar seus ovos nas águas quentes de verão.",1 500 ouros  1 875 ouros  2 250 ouros  3 000 ouros,1 875 ouros  2 343 ouros  2 812 ouros  3 750 ouros,2 250 ouros  2 812 ouros  3 375 ouros  4 500 ouros,Encontrado no pier leste na  Praia  . Requer nível 5 de pesca.,Qualquer,Verão,Qualquer,48-53,95 misto,170.0,
209,,1 500 ouros,,,,,,,,,,,,
210,,1 875 ouros,,,,,,,,,,,,
211,,2 250 ouros,,,,,,,,,,,,
212,,3 000 ouros,,,,,,,,,,,,
213,,1 875 ouros,,,,,,,,,,,,
214,,2 343 ouros,,,,,,,,,,,,
215,,2 812 ouros,,,,,,,,,,,,
216,,3 750 ouros,,,,,,,,,,,,
217,,2 250 ouros,,,,,,,,,,,,
218,,2 812 ouros,,,,,,,,,,,,
219,,3 375 ouros,,,,,,,,,,,,
220,,4 500 ouros,,,,,,,,,,,,
