,Imagem,Nome,Descrição,Preço,Profissão Pescador (+25%),Profissão Mestre Pescador (+50%),Localização,Hora,Estação,Clima,Tamanho (cm),Dificuldade e Comportamento,Base XPg,Usado em,Unnamed: 14
31,,125 ouros,,,,,,,,,,,,,
32,,156 ouros,,,,,,,,,,,,,
33,,187 ouros,,,,,,,,,,,,,
34,,250 ouros,,,,,,,,,,,,,
35,,150 ouros,,,,,,,,,,,,,
36,,187 ouros,,,,,,,,,,,,,
37,,225 ouros,,,,,,,,,,,,,
38,,300 ouros,,,,,,,,,,,,,
39,,Sardinha,Um peixe comum do oceano.,40 ouros  50 ouros  60 ouros  80 ouros,50 ouros  62 ouros  75 ouros  100 ouros,60 ouros  75 ouros  90 ouros  120 ouros,Oceano,6:00 - 19:00,Primavera  Outono  Inverno,Qualquer,3-33,30 dardo,13.0,Conjunto Peixes de Oceano  Prato do mar,
40,,40 ouros,,,,,,,,,,,,,
41,,50 ouros,,,,,,,,,,,,,
42,,60 ouros,,,,,,,,,,,,,
43,,80 ouros,,,,,,,,,,,,,
44,,50 ouros,,,,,,,,,,,,,
45,,62 ouros,,,,,,,,,,,,,
46,,75 ouros,,,,,,,,,,,,,
47,,100 ouros,,,,,,,,,,,,,
48,,60 ouros,,,,,,,,,,,,,
49,,75 ouros,,,,,,,,,,,,,
50,,90 ouros,,,,,,,,,,,,,
51,,120 ouros,,,,,,,,,,,,,
52,,Brema,Um peixe de água doce muito comum que fica ativo durante a noite.,45 ouros  56 ouros  67 ouros  90 ouros,56 ouros  70 ouros  83 ouros  112 ouros,67 ouros  84 ouros  100 ouros  135 ouros,Rio (Cidade+Floresta),18:00 - 2:00,Todas Estações,Qualquer,30-79,35 suave,14.0,Conjunto Pesca Noturna  Peixe cozido,
53,,45 ouros,,,,,,,,,,,,,
54,,56 ouros,,,,,,,,,,,,,
55,,67 ouros,,,,,,,,,,,,,
56,,90 ouros,,,,,,,,,,,,,
57,,56 ouros,,,,,,,,,,,,,
58,,70 ouros,,,,,,,,,,,,,
59,,83 ouros,,,,,,,,,,,,,
60,,112 ouros,,,,,,,,,,,,,
61,,67 ouros,,,,,,,,,,,,,
62,,84 ouros,,,,,,,,,,,,,
63,,100 ouros,,,,,,,,,,,,,
64,,135 ouros,,,,,,,,,,,,,
65,,Achigã,Um peixe popular que vive em lagos.,100 ouros  125 ouros  150 ouros  200 ouros,125 ouros  156 ouros  187 ouros  250 ouros,150 ouros  187 ouros  225 ouros  300 ouros,Lago da Montanha,6:00 - 19:00,Todas Estações,Qualquer,28-79,50 misto,19.0,"Conjunto Peixes de Lago  Achigã Crocante  Missão ""Caçarola de Peixe""",
66,,100 ouros,,,,,,,,,,,,,
67,,125 ouros,,,,,,,,,,,,,
68,,150 ouros,,,,,,,,,,,,,
69,,200 ouros,,,,,,,,,,,,,
70,,125 ouros,,,,,,,,,,,,,
71,,156 ouros,,,,,,,,,,,,,
72,,187 ouros,,,,,,,,,,,,,
73,,250 ouros,,,,,,,,,,,,,
74,,150 ouros,,,,,,,,,,,,,
75,,187 ouros,,,,,,,,,,,,,
76,,225 ouros,,,,,,,,,,,,,
77,,300 ouros,,,,,,,,,,,,,
78,,Achigã-pequeno,Um peixe de água doce muito sensível à poluição.,50 ouros  62 ouros  75 ouros  100 ouros,62 ouros  77 ouros  93 ouros  125 ouros,75 ouros  93 ouros  112 ouros  150 ouros,Rio (Cidade}  Lago da Floresta,Qualquer hora,Primavera  Outono,Qualquer,30-64,28 misto,12.0,,
79,,50 ouros,,,,,,,,,,,,,
80,,62 ouros,,,,,,,,,,,,,
81,,75 ouros,,,,,,,,,,,,,
82,,100 ouros,,,,,,,,,,,,,
83,,62 ouros,,,,,,,,,,,,,
84,,77 ouros,,,,,,,,,,,,,
85,,93 ouros,,,,,,,,,,,,,
86,,125 ouros,,,,,,,,,,,,,
87,,75 ouros,,,,,,,,,,,,,
88,,93 ouros,,,,,,,,,,,,,
89,,112 ouros,,,,,,,,,,,,,
90,,150 ouros,,,,,,,,,,,,,
91,,Truta arco-íris,Um peixe de água doce com marcas coloridas.,65 ouros  81 ouros  97 ouros  130 ouros,81 ouros  101 ouros  121 ouros  162 ouros,97 ouros  121 ouros  145 ouros  195 ouros,Rio (Cidade+Floresta)  Lago da Montanha,6:00 - 19:00,Verão,Sol,25-66,45 misto,18.0,Sopa de truta,
92,,65 ouros,,,,,,,,,,,,,
93,,81 ouros,,,,,,,,,,,,,
94,,97 ouros,,,,,,,,,,,,,
95,,130 ouros,,,,,,,,,,,,,
96,,81 ouros,,,,,,,,,,,,,
97,,101 ouros,,,,,,,,,,,,,
98,,121 ouros,,,,,,,,,,,,,
99,,162 ouros,,,,,,,,,,,,,
100,,97 ouros,,,,,,,,,,,,,
101,,121 ouros,,,,,,,,,,,,,
102,,145 ouros,,,,,,,,,,,,,
103,,195 ouros,,,,,,,,,,,,,
104,,Salmão,Nada corrente acima para por seus ovos.,75 ouros  93 ouros  112 ouros  150 ouros,93 ouros  116 ouros  140 ouros  187 ouros,112 ouros  139 ouros  168 ouros  225 ouros,Rio (Cidade+Floresta),6:00 - 19:00,Outono,Qualquer,61-198,50 misto,19.0,Jantar de salmão,
105,,75 ouros,,,,,,,,,,,,,
106,,93 ouros,,,,,,,,,,,,,
107,,112 ouros,,,,,,,,,,,,,
108,,150 ouros,,,,,,,,,,,,,
109,,93 ouros,,,,,,,,,,,,,
110,,116 ouros,,,,,,,,,,,,,
111,,140 ouros,,,,,,,,,,,,,
112,,187 ouros,,,,,,,,,,,,,
113,,112 ouros,,,,,,,,,,,,,
114,,139 ouros,,,,,,,,,,,,,
115,,168 ouros,,,,,,,,,,,,,
116,,225 ouros,,,,,,,,,,,,,
117,,Picão-verde,Um peixe de água doce que pode ser capturado à noite.,105 ouros  131 ouros  157 ouros  210 ouros,131 ouros  163 ouros  196 ouros  262 ouros,157 ouros  196 ouros  235 ouros  315 ouros,Rio (Cidade+Floresta)  Lago da Floresta,12:00 - 2:00,Outono  Inverno  com  Totem de chuva,Chuva,25-104,45 suave,18.0,Conjunto Pesca Noturna,
118,,105 ouros,,,,,,,,,,,,,
119,,131 ouros,,,,,,,,,,,,,
120,,157 ouros,,,,,,,,,,,,,
121,,210 ouros,,,,,,,,,,,,,
122,,131 ouros,,,,,,,,,,,,,
123,,163 ouros,,,,,,,,,,,,,
124,,196 ouros,,,,,,,,,,,,,
125,,262 ouros,,,,,,,,,,,,,
126,,157 ouros,,,,,,,,,,,,,
127,,196 ouros,,,,,,,,,,,,,
128,,235 ouros,,,,,,,,,,,,,
129,,315 ouros,,,,,,,,,,,,,
130,,Perca,Um peixe de água fresca do inverno.,55 ouros  68 ouros  82 ouros  110 ouros,68 ouros  85 ouros  102 ouros  137 ouros,82 ouros  102 ouros  123 ouros  165 ouros,Rio (Cidade+Floresta}  Lago da Floresta  Lago da Montanha,Qualquer hora,Inverno,Qualquer,25-64,35 dardo,14.0,,
131,,55 ouros,,,,,,,,,,,,,
132,,68 ouros,,,,,,,,,,,,,
133,,82 ouros,,,,,,,,,,,,,
134,,110 ouros,,,,,,,,,,,,,
135,,68 ouros,,,,,,,,,,,,,
136,,85 ouros,,,,,,,,,,,,,
137,,102 ouros,,,,,,,,,,,,,
138,,137 ouros,,,,,,,,,,,,,
139,,82 ouros,,,,,,,,,,,,,
140,,102 ouros,,,,,,,,,,,,,
141,,123 ouros,,,,,,,,,,,,,
142,,165 ouros,,,,,,,,,,,,,
143,,Carpa,Um peixe comum de lago.,30 ouros  37 ouros  45 ouros  60 ouros,37 ouros  46 ouros  56 ouros  75 ouros,45 ouros  55 ouros  67 ouros  90 ouros,Lago da Montanha  Lagoa do Bosque Secreto  Os Esgotos,Qualquer hora,Todas Estações,Qualquer,38-130,15 misto,8.0,Conjunto Peixes de Lago  Carpa-surpresa,
144,,30 ouros,,,,,,,,,,,,,
145,,37 ouros,,,,,,,,,,,,,
146,,45 ouros,,,,,,,,,,,,,
147,,60 ouros,,,,,,,,,,,,,
148,,37 ouros,,,,,,,,,,,,,
149,,46 ouros,,,,,,,,,,,,,
150,,56 ouros,,,,,,,,,,,,,
151,,75 ouros,,,,,,,,,,,,,
152,,45 ouros,,,,,,,,,,,,,
153,,55 ouros,,,,,,,,,,,,,
154,,67 ouros,,,,,,,,,,,,,
155,,90 ouros,,,,,,,,,,,,,
156,,Bagre,Um peixe incomum encontrado em correntes.,200 ouros  250 ouros  300 ouros  400 ouros,250 ouros  312 ouros  375 ouros  500 ouros,300 ouros  375 ouros  450 ouros  600 ouros,Rio(Cidade+Floresta)  Lago do Bosque Secreto  Pântano da bruxa,6:00 - 00:00,Primavera  Outono  (  Primavera  &  Verão  no  Lago do Bosque Secreto  ),Chuva,30-185,75 misto,28.0,Conjunto Peixes de Rio  Willy  (presente amado),
157,,200 ouros,,,,,,,,,,,,,
158,,250 ouros,,,,,,,,,,,,,
159,,300 ouros,,,,,,,,,,,,,
160,,400 ouros,,,,,,,,,,,,,
161,,250 ouros,,,,,,,,,,,,,
162,,312 ouros,,,,,,,,,,,,,
163,,375 ouros,,,,,,,,,,,,,
164,,500 ouros,,,,,,,,,,,,,
165,,300 ouros,,,,,,,,,,,,,
166,,375 ouros,,,,,,,,,,,,,
167,,450 ouros,,,,,,,,,,,,,
168,,600 ouros,,,,,,,,,,,,,
169,,Lúcio,Um peixe de água doce difícil de pegar.,100 ouros  125 ouros  150 ouros  200 ouros,125 ouros  156 ouros  187 ouros  250 ouros,150 ouros  187 ouros  225 ouros  300 ouros,Rio (Cidade+Floresta)  Lago da Floresta,Qualquer hora,Verão  Inverno,Qualquer,38-155,60 dardo,23.0,,
170,,100 ouros,,,,,,,,,,,,,
171,,125 ouros,,,,,,,,,,,,,
172,,150 ouros,,,,,,,,,,,,,
173,,200 ouros,,,,,,,,,,,,,
174,,125 ouros,,,,,,,,,,,,,
175,,156 ouros,,,,,,,,,,,,,
176,,187 ouros,,,,,,,,,,,,,
177,,250 ouros,,,,,,,,,,,,,
178,,150 ouros,,,,,,,,,,,,,
179,,187 ouros,,,,,,,,,,,,,
180,,225 ouros,,,,,,,,,,,,,
181,,300 ouros,,,,,,,,,,,,,
182,,Peixe-sol,Um peixe muito comum em rios.,30 ouros  37 ouros  45 ouros  60 ouros,37 ouros  46 ouros  56 ouros  75 ouros,45 ouros  55 ouros  67 ouros  90 ouros,Rio(Cidade+Floresta),6:00 - 19:00,Primavera  Verão,Sol  Vento,13-41,30 misto,13.0,Conjunto Peixes de Rio  Peixe cozido,
183,,30 ouros,,,,,,,,,,,,,
184,,37 ouros,,,,,,,,,,,,,
185,,45 ouros,,,,,,,,,,,,,
186,,60 ouros,,,,,,,,,,,,,
187,,37 ouros,,,,,,,,,,,,,
188,,46 ouros,,,,,,,,,,,,,
189,,56 ouros,,,,,,,,,,,,,
190,,75 ouros,,,,,,,,,,,,,
191,,45 ouros,,,,,,,,,,,,,
192,,55 ouros,,,,,,,,,,,,,
193,,67 ouros,,,,,,,,,,,,,
194,,90 ouros,,,,,,,,,,,,,
195,,Salmonete,"Há muito tempo, este peixe era mantido como animal de estimação.",75 ouros  93 ouros  112 ouros  150 ouros,93 ouros  116 ouros  140 ouros  187 ouros,112 ouros  139 ouros  168 ouros  225 ouros,Oceano,6:00 - 19:00,Verão  Inverno,Qualquer,20-58,55 suave,21.0,,
196,,75 ouros,,,,,,,,,,,,,
197,,93 ouros,,,,,,,,,,,,,
198,,112 ouros,,,,,,,,,,,,,
199,,150 ouros,,,,,,,,,,,,,
200,,93 ouros,,,,,,,,,,,,,
201,,116 ouros,,,,,,,,,,,,,
202,,140 ouros,,,,,,,,,,,,,
203,,187 ouros,,,,,,,,,,,,,
204,,112 ouros,,,,,,,,,,,,,
205,,139 ouros,,,,,,,,,,,,,
206,,168 ouros,,,,,,,,,,,,,
207,,225 ouros,,,,,,,,,,,,,
208,,Arenque,Um peixe comum de oceano.,30 ouros  37 ouros  45 ouros  60 ouros,37 ouros  46 ouros  56 ouros  75 ouros,45 ouros  55 ouros  67 ouros  90 ouros,Oceano,Qualquer hora,Primavera  Inverno,Qualquer,20-23,25 dardo,11.0,,
209,,30 ouros,,,,,,,,,,,,,
210,,37 ouros,,,,,,,,,,,,,
211,,45 ouros,,,,,,,,,,,,,
212,,60 ouros,,,,,,,,,,,,,
213,,37 ouros,,,,,,,,,,,,,
214,,46 ouros,,,,,,,,,,,,,
215,,56 ouros,,,,,,,,,,,,,
216,,75 ouros,,,,,,,,,,,,,
217,,45 ouros,,,,,,,,,,,,,
218,,55 ouros,,,,,,,,,,,,,
219,,67 ouros,,,,,,,,,,,,,
220,,90 ouros,,,,,,,,,,,,,
221,,Enguia,"Um peixe alongado, escorregadio e pequeno.",85 ouros  106 ouros  127 ouros  170 ouros,106 ouros  132 ouros  158 ouros  212 ouros,127 ouros  159 ouros  190 ouros  255 ouros,Oceano,16:00 - 2:00,Primavera  Outono,Chuva,30-206,70 suave,26.0,Conjunto Pesca Noturna  Enguia frita  Enguia picante,
222,,85 ouros,,,,,,,,,,,,,
223,,106 ouros,,,,,,,,,,,,,
224,,127 ouros,,,,,,,,,,,,,
225,,170 ouros,,,,,,,,,,,,,
226,,106 ouros,,,,,,,,,,,,,
227,,132 ouros,,,,,,,,,,,,,
228,,158 ouros,,,,,,,,,,,,,
229,,212 ouros,,,,,,,,,,,,,
230,,127 ouros,,,,,,,,,,,,,
231,,159 ouros,,,,,,,,,,,,,
232,,190 ouros,,,,,,,,,,,,,
233,,255 ouros,,,,,,,,,,,,,
234,,Polvo,Uma criatura misteriosa e inteligente.,150 ouros  187 ouros  225 ouros  300 ouros,187 ouros  233 ouros  281 ouros  375 ouros,225 ouros  280 ouros  337 ouros  450 ouros,Oceano,6:00 - 13:00,Verão,Qualquer,30-124,95 pesado,34.0,Willy  (presente amado),
235,,150 ouros,,,,,,,,,,,,,
236,,187 ouros,,,,,,,,,,,,,
237,,225 ouros,,,,,,,,,,,,,
238,,300 ouros,,,,,,,,,,,,,
239,,187 ouros,,,,,,,,,,,,,
240,,233 ouros,,,,,,,,,,,,,
241,,281 ouros,,,,,,,,,,,,,
242,,375 ouros,,,,,,,,,,,,,
243,,225 ouros,,,,,,,,,,,,,
244,,280 ouros,,,,,,,,,,,,,
245,,337 ouros,,,,,,,,,,,,,
246,,450 ouros,,,,,,,,,,,,,
247,,Cioba,Um peixe popular com uma bonita cor vermelha.,50 ouros  62 ouros  75 ouros  100 ouros,62 ouros  77 ouros  93 ouros  125 ouros,75 ouros  93 ouros  112 ouros  150 ouros,Oceano,6:00 - 19:00,Verão  Outono  Inverno  com  Totem de chuva,Chuva,20-66,40 misto,16.0,Conjunto Peixes de Oceano,
248,,50 ouros,,,,,,,,,,,,,
249,,62 ouros,,,,,,,,,,,,,
250,,75 ouros,,,,,,,,,,,,,
251,,100 ouros,,,,,,,,,,,,,
252,,62 ouros,,,,,,,,,,,,,
253,,77 ouros,,,,,,,,,,,,,
254,,93 ouros,,,,,,,,,,,,,
255,,125 ouros,,,,,,,,,,,,,
256,,75 ouros,,,,,,,,,,,,,
257,,93 ouros,,,,,,,,,,,,,
258,,112 ouros,,,,,,,,,,,,,
259,,150 ouros,,,,,,,,,,,,,
260,,Lula,Uma criatura das profundezas do mar que pode ficar enorme.,80 ouros  100 ouros  120 ouros  160 ouros,100 ouros  125 ouros  150 ouros  200 ouros,120 ouros  150 ouros  180 ouros  240 ouros,Oceano,18:00 - 2:00,Inverno,Qualquer,30-124,75 pesado,28.0,"Lula frita  Missão ""Caça à Lula""",
261,,80 ouros,,,,,,,,,,,,,
262,,100 ouros,,,,,,,,,,,,,
263,,120 ouros,,,,,,,,,,,,,
264,,160 ouros,,,,,,,,,,,,,
265,,100 ouros,,,,,,,,,,,,,
266,,125 ouros,,,,,,,,,,,,,
267,,150 ouros,,,,,,,,,,,,,
268,,200 ouros,,,,,,,,,,,,,
269,,120 ouros,,,,,,,,,,,,,
270,,150 ouros,,,,,,,,,,,,,
271,,180 ouros,,,,,,,,,,,,,
272,,240 ouros,,,,,,,,,,,,,
273,,Pepino-do-mar,Uma criatura escorregadia e gosmenta encontrada no fundo do oceano.,75 ouros  93 ouros  112 ouros  150 ouros,93 ouros  116 ouros  140 ouros  187 ouros,112 ouros  139 ouros  168 ouros  225 ouros,Oceano,6:00 - 19:00,Outono  Inverno,Qualquer,8-53,40 pesado,16.0,Almoço da sorte  Willy  (presente amado),
274,,75 ouros,,,,,,,,,,,,,
275,,93 ouros,,,,,,,,,,,,,
276,,112 ouros,,,,,,,,,,,,,
277,,150 ouros,,,,,,,,,,,,,
278,,93 ouros,,,,,,,,,,,,,
279,,116 ouros,,,,,,,,,,,,,
280,,140 ouros,,,,,,,,,,,,,
281,,187 ouros,,,,,,,,,,,,,
282,,112 ouros,,,,,,,,,,,,,
283,,139 ouros,,,,,,,,,,,,,
284,,168 ouros,,,,,,,,,,,,,
285,,225 ouros,,,,,,,,,,,,,
286,,Superpepino,Uma variedade rara e púrpura de pepino-do-mar.,250 ouros  312 ouros  375 ouros  500 ouros,312 ouros  390 ouros  468 ouros  625 ouros,375 ouros  468 ouros  562 ouros  750 ouros,Oceano  Oceano da  Ilha Gengibre,18:00 - 2:00,Verão  Outono,Qualquer,30-94,80 pesado,29.0,Feiticeiro  (presente amado),
287,,250 ouros,,,,,,,,,,,,,
288,,312 ouros,,,,,,,,,,,,,
289,,375 ouros,,,,,,,,,,,,,
290,,500 ouros,,,,,,,,,,,,,
291,,312 ouros,,,,,,,,,,,,,
292,,390 ouros,,,,,,,,,,,,,
293,,468 ouros,,,,,,,,,,,,,
294,,625 ouros,,,,,,,,,,,,,
295,,375 ouros,,,,,,,,,,,,,
296,,468 ouros,,,,,,,,,,,,,
297,,562 ouros,,,,,,,,,,,,,
298,,750 ouros,,,,,,,,,,,,,
299,,Peixe-fantasma,Um peixe pálido e cego encontrado em lagos subterrâneos.,45 ouros  56 ouros  67 ouros  90 ouros,56 ouros  70 ouros  83 ouros  112 ouros,67 ouros  84 ouros  100 ouros  135 ouros,"Mina (20º, 60º andar)  Expólio de  Fantasmas",Qualquer hora,Todas Estações,Qualquer,25-91,50 misto,19.0,Conjunto Peixes Especializados,
300,,45 ouros,,,,,,,,,,,,,
301,,56 ouros,,,,,,,,,,,,,
302,,67 ouros,,,,,,,,,,,,,
303,,90 ouros,,,,,,,,,,,,,
304,,56 ouros,,,,,,,,,,,,,
305,,70 ouros,,,,,,,,,,,,,
306,,83 ouros,,,,,,,,,,,,,
307,,112 ouros,,,,,,,,,,,,,
308,,67 ouros,,,,,,,,,,,,,
309,,84 ouros,,,,,,,,,,,,,
310,,100 ouros,,,,,,,,,,,,,
311,,135 ouros,,,,,,,,,,,,,
312,,Peixe-pedra,Um peixe bizarro em forma de tijolo.,300 ouros  375 ouros  450 ouros  600 ouros,375 ouros  468 ouros  562 ouros  750 ouros,450 ouros  562 ouros  675 ouros  900 ouros,Mina (20º andar),Qualquer hora,Todas Estações,Qualquer,36-38,65 pesado,24.0,,
313,,300 ouros,,,,,,,,,,,,,
314,,375 ouros,,,,,,,,,,,,,
315,,450 ouros,,,,,,,,,,,,,
316,,600 ouros,,,,,,,,,,,,,
317,,375 ouros,,,,,,,,,,,,,
318,,468 ouros,,,,,,,,,,,,,
319,,562 ouros,,,,,,,,,,,,,
320,,750 ouros,,,,,,,,,,,,,
321,,450 ouros,,,,,,,,,,,,,
322,,562 ouros,,,,,,,,,,,,,
323,,675 ouros,,,,,,,,,,,,,
324,,900 ouros,,,,,,,,,,,,,
325,,Chione,Um peixe raro que prospera em condições extremamente frias.,500 ouros  625 ouros  750 ouros  1 000 ouros,625 ouros  781 ouros  937 ouros  1 250 ouros,750 ouros  937 ouros  1 125 ouros  1 500 ouros,Mina (60º andar),Qualquer hora,Todas Estações,Qualquer,18-23,85 dardo,31.0,,
326,,500 ouros,,,,,,,,,,,,,
327,,625 ouros,,,,,,,,,,,,,
328,,750 ouros,,,,,,,,,,,,,
329,,1 000 ouros,,,,,,,,,,,,,
330,,625 ouros,,,,,,,,,,,,,
331,,781 ouros,,,,,,,,,,,,,
332,,937 ouros,,,,,,,,,,,,,
333,,1 250 ouros,,,,,,,,,,,,,
334,,750 ouros,,,,,,,,,,,,,
335,,937 ouros,,,,,,,,,,,,,
336,,1 125 ouros,,,,,,,,,,,,,
337,,1 500 ouros,,,,,,,,,,,,,
338,,Enguia de lava,"Por algum motivo, consegue sobreviver em piscinas de lava superquente.",700 ouros  875 ouros  1 050 ouros  1 400 ouros,875 ouros  1 093 ouros  1 312 ouros  1 750 ouros,1 050 ouros  1 312 ouros  1 575 ouros  2 100 ouros,Mina (100º andar)  Forja,Qualquer hora,Todas Estações,Qualquer,79-81,90 misto,33.0,,
339,,700 ouros,,,,,,,,,,,,,
340,,875 ouros,,,,,,,,,,,,,
341,,1 050 ouros,,,,,,,,,,,,,
342,,1 400 ouros,,,,,,,,,,,,,
343,,875 ouros,,,,,,,,,,,,,
344,,1 093 ouros,,,,,,,,,,,,,
345,,1 312 ouros,,,,,,,,,,,,,
346,,1 750 ouros,,,,,,,,,,,,,
347,,1 050 ouros,,,,,,,,,,,,,
348,,1 312 ouros,,,,,,,,,,,,,
349,,1 575 ouros,,,,,,,,,,,,,
350,,2 100 ouros,,,,,,,,,,,,,
351,,Areinha,Tenta se esconder se camuflando.,75 ouros  93 ouros  112 ouros  150 ouros,93 ouros  116 ouros  140 ouros  187 ouros,112 ouros  139 ouros  168 ouros  225 ouros,O Deserto,6:00 - 20:00,Todas Estações,Qualquer,20-64,65 misto,24.0,Conjunto Peixes Especializados  Penny  (presente amado),
352,,75 ouros,,,,,,,,,,,,,
353,,93 ouros,,,,,,,,,,,,,
354,,112 ouros,,,,,,,,,,,,,
355,,150 ouros,,,,,,,,,,,,,
356,,93 ouros,,,,,,,,,,,,,
357,,116 ouros,,,,,,,,,,,,,
358,,140 ouros,,,,,,,,,,,,,
359,,187 ouros,,,,,,,,,,,,,
360,,112 ouros,,,,,,,,,,,,,
361,,139 ouros,,,,,,,,,,,,,
362,,168 ouros,,,,,,,,,,,,,
363,,225 ouros,,,,,,,,,,,,,
364,,Carpa escorpiônica,"Parece com uma carpa qualquer, mas tem um ferrão afiado.",150 ouros  187 ouros  225 ouros  300 ouros,187 ouros  233 ouros  281 ouros  375 ouros,225 ouros  280 ouros  337 ouros  450 ouros,O Deserto  Requer pesca nível 4,6:00 - 20:00,Todas Estações,Qualquer,30-84,90 dardo,33.0,,
365,,150 ouros,,,,,,,,,,,,,
366,,187 ouros,,,,,,,,,,,,,
367,,225 ouros,,,,,,,,,,,,,
368,,300 ouros,,,,,,,,,,,,,
369,,187 ouros,,,,,,,,,,,,,
370,,233 ouros,,,,,,,,,,,,,
371,,281 ouros,,,,,,,,,,,,,
372,,375 ouros,,,,,,,,,,,,,
373,,225 ouros,,,,,,,,,,,,,
374,,280 ouros,,,,,,,,,,,,,
375,,337 ouros,,,,,,,,,,,,,
376,,450 ouros,,,,,,,,,,,,,
377,,Linguado,"Ele vive no fundo, então os dois olhos estão no topo da cabeça.",100 ouros  125 ouros  150 ouros  200 ouros,125 ouros  156 ouros  187 ouros  250 ouros,150 ouros  187 ouros  225 ouros  300 ouros,Oceano  Oceano da  Ilha Gengibre,6:00 - 20:00,Primavera  Verão,Qualquer,10-43,50 pesado,19.0,Pudim de espuma do mar,
378,,100 ouros,,,,,,,,,,,,,
379,,125 ouros,,,,,,,,,,,,,
380,,150 ouros,,,,,,,,,,,,,
381,,200 ouros,,,,,,,,,,,,,
382,,125 ouros,,,,,,,,,,,,,
383,,156 ouros,,,,,,,,,,,,,
384,,187 ouros,,,,,,,,,,,,,
385,,250 ouros,,,,,,,,,,,,,
386,,150 ouros,,,,,,,,,,,,,
387,,187 ouros,,,,,,,,,,,,,
388,,225 ouros,,,,,,,,,,,,,
389,,300 ouros,,,,,,,,,,,,,
390,,Carpa da meia-noite,Este peixe tímido só se sente à noite.,150 ouros  187 ouros  225 ouros  300 ouros,187 ouros  233 ouros  281 ouros  375 ouros,225 ouros  280 ouros  337 ouros  450 ouros,"Lago da Montanha  ,  Lago da Floresta  ,  Lago e rio da  Ilha Gengibre",22:00 - 2:00,Outono  Inverno,Qualquer,30-132,55 misto,21.0,Pudim de espuma do mar,
391,,150 ouros,,,,,,,,,,,,,
392,,187 ouros,,,,,,,,,,,,,
393,,225 ouros,,,,,,,,,,,,,
394,,300 ouros,,,,,,,,,,,,,
395,,187 ouros,,,,,,,,,,,,,
396,,233 ouros,,,,,,,,,,,,,
397,,281 ouros,,,,,,,,,,,,,
398,,375 ouros,,,,,,,,,,,,,
399,,225 ouros,,,,,,,,,,,,,
400,,280 ouros,,,,,,,,,,,,,
401,,337 ouros,,,,,,,,,,,,,
402,,450 ouros,,,,,,,,,,,,,
403,,Esturjão,Um antigo peixe de fundo com uma população em queda. As fêmeas podem viver até 150 anos.,200 ouros  250 ouros  300 ouros  400 ouros,250 ouros  312 ouros  375 ouros  500 ouros,300 ouros  375 ouros  450 ouros  600 ouros,Lago da Montanha,6:00 - 19:00,Verão  Inverno,Qualquer,30-155,78 misto,29.0,Conjunto Peixes de Lago  Willy  (presente amado),
404,,200 ouros,,,,,,,,,,,,,
405,,250 ouros,,,,,,,,,,,,,
406,,300 ouros,,,,,,,,,,,,,
407,,400 ouros,,,,,,,,,,,,,
