,Nome,Tipo,Nível,Descrição,Dano,Chance de Acerto Crítico,Estatísticas,Localização,Preço de Compra,Preço de Venda,Dano médio,Valor por dano
12,Agulha de Irídio,adagas,12.0,"A ponta é inacreditavelmente afiada, até um nível atômico.",20-35,0.1,Chance Crítica  (+6)  Ataque Crítico  (+200),"Drop de  Gosmas Especiais  nas  Minas  durante a missão ""  Perigo nas Profundezas  "" ou com o  Santuário do Desafio  ativado.",,600.0,27.5,
13,Adaga do Infinito,adagas,16.0,A verdadeira forma da Adaga da Galáxia.,50-70,0.06,Velocidade  (+1)  Defesa  (+3)  Chance Crítica  (+4)  Peso  (+5),Combine a  Adaga da galáxia  com  Alma da Galáxia  (3)  na  Forja,,800.0,60.0,
14,Fêmur,clavas,2.0,Um osso velho e pesado coberto por décadas de sujeira.,6-11,0.02,Velocidade  (+2),Baú no 10º andar das  Minas  (com recompensas aleatórias na mina apenas),,100.0,8.5,
15,Taco de madeira,clavas,2.0,Feito de madeira pouco maciça.,9-16,0.02,,As Minas  (andares 1-39)  Baú no 20º andar das  Minas  (com recompensas aleatórias na mina apenas),,100.0,12.5,
16,Malho de Madeira,clavas,3.0,A cabeça maciça causa um estrago... Muito leve para um malho.,15-24,0.02,Velocidade  (+2)  Peso  (+3),As Minas  (andares 41-79)  Guilda dos Aventureiros  (depois de desbloquear o 40º andar das  Minas  )  Baú no 60º andar das  Minas  (com recompensas aleatórias na mina apenas),2000.0,150.0,19.5,102.56410256410257
17,Taco de chumbo,clavas,4.0,Incrivelmente pesado.,18-27,0.02,Velocidade  (−4),As Minas  (andares 41-79),,200.0,22.5,
18,Clava,clavas,5.0,A companhia de um bruto.,27-40,0.02,Velocidade  (−1)  Ataque Crítico  (+4)  Peso  (+2),As Minas  (andares 101+)  Baú no 80º andar das  Minas  (com recompensas aleatórias na mina apenas),,250.0,33.5,
19,O Arremessador,clavas,7.0,Martelo tão pesado que manda inimigos voando.,40-55,0.02,Velocidade  (−2),As Minas  (andares 81-99)  Caverna da Caveira  Baú no 110º andar das  Minas  (com recompensas aleatórias na mina apenas),,350.0,47.5,
20,Martelo da Galáxia,clavas,12.0,Feito de um material ultraleve que você nunca viu antes.,70-90,0.02,Velocidade  (+2)  Peso  (+5),Guilda dos Aventureiros  (após obter a  Espada da galáxia  ),75000.0,600.0,80.0,937.5
21,Martelo Anão,clavas,13.0,Emite um zunido bem sutil.,75-85,0.02,Defesa  (+2)  Peso  (+5),Baús de tesouro comuns na  Caverna do Vulcão,,650.0,80.0,
22,Clava de Dente de Dragão,clavas,14.0,Esta clava foi forjada de um dente mágico.,80-100,0.02,Ataque Crítico  (+50)  Peso  (+3),Baús de tesouro raros na  Caverna do Vulcão,,700.0,90.0,
23,Martelo do Infinito,clavas,17.0,A verdadeira forma do Martelo da Galáxia.,100-120,0.02,Velocidade  (+2)  Defesa  (+1)  Peso  (+5),Combine o  Martelo da Galáxia  com  Alma da Galáxia  (3)  na  Forja,,850.0,110.0,
24,Espada enferrujada,espadas,1.0,Uma espada enferrujada e cega.,2-5,0.02,,Entrada das  Minas,,50.0,3.5,
25,Espada de madeira,espadas,1.0,Nada mal para um pedaço de madeira.,3-7,0.02,,Guilda dos Aventureiros  Baú no 10º andar das  Minas  (com recompensas aleatórias na mina apenas),250.0,50.0,5.0,50.0
26,Espada de aço,espadas,1.0,Uma espada padrão.,4-8,0.02,Velocidade  (+2),Baú no 20º andar das  Minas,,50.0,6.0,
27,Sabre de prata,espadas,2.0,Folheado com prata para reduzir a ferrugem.,8-15,0.02,Defesa  (+1),Guilda dos Aventureiros  (depois de desbloquear o 20º andar das  Minas  )  Baú no 50º andar das  Minas  (com recompensas aleatórias na mina apenas),750.0,100.0,11.5,65.21739130434783
28,Espada de pirata,espadas,2.0,Parece que um pirata a possuía.,8-14,0.02,Velocidade  (+2),Guilda dos Aventureiros  (depois de desbloquear o 30º andar das  Minas  )  Baú no 50º andar das  Minas  (com recompensas aleatórias na mina apenas),850.0,100.0,11.0,77.27272727272727
29,Sabre,espadas,3.0,Um sabre muito bem feito.,9-17,0.02,Velocidade  (+2),Guilda dos Aventureiros  (depois de desbloquear o 25º andar das  Minas  )  Baú no 60º andar das  Minas  (com recompensas aleatórias na mina apenas),1500.0,150.0,13.0,115.38461538461539
30,Espada da Floresta,espadas,3.0,Feita poderosa mágica da floresta.,8-18,0.02,Velocidade  (+2)  Defesa  (+1),As Minas  (andares 21-59),,150.0,13.0,
31,Lâmina de ferro,espadas,3.0,Uma espada pesada.,12-25,0.02,Velocidade  (−2)  Defesa  (+1)  Peso  (+3),As Minas  (andares 41-59)  Baú no 60º andar das  Minas  (com recompensas aleatórias na mina apenas),,150.0,18.5,
32,Cabeça de inseto,espadas,4.0,Não muito agradável de segurar.,10-20,0.04,Velocidade  (+2)  Chance Crítica  (+2),Guilda dos Aventureiros  (como recompensa por matar 125  Insetos  e posteriomente disponível para compra),10000.0,200.0,15.0,666.6666666666666
33,Gládio de Netuno,espadas,5.0,Herança de além do Mar de Joias.,18-35,0.02,Velocidade  (−1)  Defesa  (+2)  Peso  (+4),Baús de Tesouro de Pesca  (Pesca Nível 2+),,250.0,26.5,
34,Espada Escocesa,espadas,5.0,É muito pesada.,20-32,0.02,Velocidade  (−4)  Defesa  (+2)  Peso  (+3),Guilda dos Aventureiros  (depois de desbloquear o 45º andar das  Minas  )  Baú no 80º andar das  Minas  (com recompensas aleatórias na mina apenas),2000.0,250.0,26.0,76.92307692307692
35,Espada do templário,espadas,5.0,Já pertenceu a um honrado cavaleiro.,22-29,0.0,Defesa  (+1),Guilda dos Aventureiros  (depois de desbloquear o 55º andar das  Minas  )  Baú no 80º andar das  Minas  (com recompensas aleatórias na mina apenas),4000.0,250.0,25.5,156.86274509803923
36,Espada de ossos,espadas,5.0,Muito leve. Feita de osso polido.,20-30,0.02,Velocidade  (+4)  Peso  (+2),Drop de  Esqueletos  Guilda dos Aventureiros  (depois de desbloquear o 75º andar das  Minas  )  Baú no 90º andar das  Minas  (com recompensas aleatórias na mina apenas),6000.0,250.0,25.0,240.0
37,Lâmina Ossificada,espadas,6.0,Uma lâmina grande e afiada formada por ossos.,26-42,0.02,Velocidade  (−2)  Defesa  (+1)  Peso  (+2),Baú no 90º andar das  Minas  (com recompensas aleatórias na mina apenas),,300.0,34.0,
38,Espada de Obsidiana,espadas,6.0,Incrivelmente afiada.,30-45,0.02,Velocidade  (−1)  Ataque Crítico  (+10),Baú no 90º andar das  Minas,,300.0,37.5,
39,Dentes de iete,espadas,7.0,Muito frios ao toque.,26-42,0.02,Defesa  (+4)  Ataque Crítico  (+10),As Minas  (andares 81-99),,350.0,34.0,
40,Espada temperada,espadas,7.0,Parece aguentar qualquer impacto.,29-44,0.02,Velocidade  (−3)  Defesa  (+3)  Peso  (+3),As Minas  (andares 81-99)  Caverna da Caveira  Baú no 90º andar das  Minas  (com recompensas aleatórias na mina apenas),,350.0,36.5,
41,Cimitarra de metal,espadas,8.0,Leve e poderosa.,28-46,0.02,Velocidade  (+4)  Ataque Crítico  (+20),Guilda dos Aventureiros  (depois de desbloquear o 90º andar das  Minas  )  As Minas  (andares 101+)  Caverna da Caveira  Baú no 110º andar das  Minas  (com recompensas aleatórias na mina apenas),9000.0,400.0,37.0,243.24324324324326
42,Espada das trevas,espadas,9.0,Brilha com uma energia misteriosa.,30-45,0.04,Velocidade  (−5)  Chance Crítica  (+2)  Peso  (+5)  Vampírico  (9%),Drop de  Caveira Assombrada,,450.0,37.5,
43,Katana de lava,espadas,10.0,"Uma lâmina poderosa, forjada em uma piscina de lava.",55-64,0.015,Defesa  (+3)  Ataque Crítico  (+25)  Peso  (+3),Guilda dos Aventureiros  (depois de desbloquear o 120º andar das  Minas  ),25000.0,500.0,59.5,420.16806722689074
44,Espada Anã,espadas,13.0,"É antiga, mas a lâmina nunca desgasta.",65-75,0.02,Velocidade  (+2)  Defesa  (+4),Baús de tesouro comuns na  Caverna do Vulcão,,650.0,70.0,
45,Espada da galáxia,espadas,13.0,Diferente de tudo que você já viu.,60-80,0.02,Velocidade  (+4),Leve um  Fragmento prismático  para os três pilares no  Deserto,50000.0,650.0,70.0,714.2857142857143
46,Espada de Dente de Dragão,espadas,13.0,A lâmina foi forjada de um dente mágico.,75-90,0.02,Ataque Crítico  (+50),Baús de tesouro raros na  Caverna do Vulcão,,650.0,82.5,
47,Lâmina do Infinito,espadas,17.0,A verdadeira forma da Espada da Galáxia.,80-100,0.02,Velocidade  (+4)  Defesa  (+2),Combine a  Espada da galáxia  com  Alma da Galáxia  (3)  na  Forja,,850.0,90.0,
48,Estilingue,estilingues,,Requer pedras  como munição.,Depende da  munição usada,0.02,,Baú no 40º andar das  Minas  Guilda dos Aventureiros  (depois de desbloquear o 40º andar das  Minas  ),500.0,,,
49,Estilingue-mester,estilingues,,Requer pedras  como munição.,Depende da  munição usada,0.02,,Baú no 70º andar das  Minas  Guilda dos Aventureiros  (depois de desbloquear o 70º andar das  Minas  ),1000.0,,,
50,Bastão do Alex,impossiveis,1.0,Seu ponto mais forte possui um entalhe por causa do Grand Slam do Alex.,1-3,0.02,Peso  (+5),,,50.0,2.0,
51,Guitarra antiga do Sam,impossiveis,1.0,Já viu dias melhores.,1-3,0.02,Velocidade  (+1)  Peso  (+5),,,50.0,2.0,
52,Martelo do Harvey,impossiveis,3.0,Faz você se lembrar da clínica do Harvey.,1-3,0.02,Velocidade  (+158)  Peso  (+5),,,150.0,2.0,
53,Chave a Maru,impossiveis,3.0,Uma chave grande de metal. Está com o cheiro da Maru.,1-3,0.02,Velocidade  (+158)  Peso  (+5),,,150.0,2.0,
54,Fritadeira da Penny,impossiveis,3.0,A fritadeira favorita da Penny. Tem algo emborrachado preso à parte de dentro.,1-3,0.02,Velocidade  (+158)  Peso  (+5),,,150.0,2.0,
55,Maça perdida do Sebastian,impossiveis,3.0,Uma das réplicas medievais do Sebastian.,1-3,0.02,Velocidade  (+158)  Peso  (+5),,,150.0,2.0,
56,Ferro de passar da Haley,impossiveis,3.0,Muito quente. Está com cheiro de cabelo da Haley.,1-3,0.02,Velocidade  (+154),,,150.0,2.0,
57,Prancheta da Abby,impossiveis,4.0,É feita de mármore fina.,1-3,0.02,Velocidade  (+154)  Chance Crítica  (+1)  Peso  (+5),,,200.0,2.0,
58,Lápis do Elliott,impossiveis,4.0,Elliott utilizava isto para escrever seu livro. Está apontado!,1-3,0.02,Velocidade  (+154)  Chance Crítica  (+1)  Peso  (+5),,,200.0,2.0,
59,Cinzel da Leah,impossiveis,4.0,A ferramenta favorita da Leah para esculpir madeira.,1-3,0.02,Velocidade  (+154)  Chance Crítica  (+1)  Peso  (+5),,,200.0,2.0,
60,Espada sagrada,impossiveis,4.0,Dá esperança ao segurar.,18-24,0.02,Peso  (+3),,,200.0,21.0,
61,Florete,impossiveis,4.0,Uma arma elegante.,15-25,0.02,Velocidade  (+2),,,200.0,20.0,
62,Estilingue da galáxia,impossiveis,,Parece muito poderoso.,≈4x mais que um estilingue normal  usando a mesma munição,0.02,,,,,,
63,"Frutas,  Vegetais, Ovos",municoes,,Base de dano: 1,1-3,,,,,,2.0,
64,Madeira,municoes,,Base de dano: 2,1-5,,,,,,3.0,
65,Pedra,municoes,,Base de dano: 5,3-11,,,,,,7.0,
66,Minério de cobre,municoes,,Base de dano: 10,5-21,,,,,,13.0,
67,Carvão,municoes,,Base de dano: 15,8-31,,,,,,19.5,
68,Munição explosiva,municoes,,Base de dano: 20,10-41,,,,,,25.5,
69,Minério de ferro,municoes,,Base de dano: 20,10-41,,,,,,25.5,
70,Minério de ouro,municoes,,Base de dano: 30,15-61,,,,,,38.0,
71,Minério de irídio,municoes,,Base de dano: 50,25-101,,,,,,63.0,
