,Conjunto,Requisitos,Descrição_requisitos,Recompensa
74,Conjunto Recursos de Outono,Cogumelo comum,"Colete  durante o  Outono  , colete durante o  Outono  e a  Primavera  no  Bosque Secreto  ,  na Caverna da Fazenda  (opção de Cogumelos),  extraia  de uma  Árvore de cogumelo  .",Sementes de outono  (30)
75,Conjunto Recursos de Outono,Ameixa selvagem,Colete  durante o  Outono  .,Sementes de outono  (30)
76,Conjunto Recursos de Outono,Avelã,Colete  durante o  Outono  .,Sementes de outono  (30)
77,Conjunto Recursos de Outono,Amora,"Colete  durante o  Outono  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)",Sementes de outono  (30)
78,Conjunto Recursos de Outono,Sementes de outono  (30),Sementes de outono  (30),Sementes de outono  (30)
79,Conjunto Recursos de Inverno,Raiz de inverno,"Arando  o solo ou  Pontos de artefatos  durante o  Inverno  , deixado por  Gosmas  Azuis nos andares 41-79 da  mina  .",Sementes de inverno  (30)
80,Conjunto Recursos de Inverno,Fruta de cristal,"Colete  durante o  Inverno  , deixado por  Espíritos da Poeira  nos andares 41-79 da  mina  .",Sementes de inverno  (30)
81,Conjunto Recursos de Inverno,Inhame de neve,Arando  o solo ou  Pontos de Artefatos  durante o  Inverno  .,Sementes de inverno  (30)
82,Conjunto Recursos de Inverno,Flor de açafrão,Colete  durante o  Inverno  .,Sementes de inverno  (30)
83,Conjunto Recursos de Inverno,Sementes de inverno  (30),Sementes de inverno  (30),Sementes de inverno  (30)
84,Conjunto Peixes Especializados,Baiacu,"Encontrado no Oceano, 12:00 – 16:00,  Verão  .",Prato do mar  (5)
85,Conjunto Peixes Especializados,Peixe-fantasma,"Encontrado nos lagos nas  Minas  , Qualquer hora, Todas as Estações. Também pode ser deixado por  Fantasmas  .",Prato do mar  (5)
86,Conjunto Peixes Especializados,Areinha,"Encontrado nos lagos do  Deserto Calico  , 6:00 – 22:00, Todas as Estações.",Prato do mar  (5)
87,Conjunto Peixes Especializados,Madeirão,"Encontrado no  Bosque Secreto  , Qualquer hora, Todas as Estações.",Prato do mar  (5)
88,Conjunto Peixes Especializados,Prato do mar  (5),Prato do mar  (5),Prato do mar  (5)
89,Conjunto Peixes de Lago,Achigã,"Encontrado em Lagos, 6:00 – 19:00, Todas as Estações.",Isca artificial  (1)
90,Conjunto Peixes de Lago,Carpa,"Encontrado em Lagos, Qualquer hora,  Primavera  ,  Verão  , e  Outono  .",Isca artificial  (1)
91,Conjunto Peixes de Lago,Peixe-gato,"Encontrado em Lagos, Qualquer hora, Todas as Estações.",Isca artificial  (1)
92,Conjunto Peixes de Lago,Esturjão,"Encontrado em Lagos, 6:00 – 19:00 ,  Verão  e  Inverno  .",Isca artificial  (1)
93,Conjunto Peixes de Lago,Isca artificial  (1),Isca artificial  (1),Isca artificial  (1)
94,Conjunto Peixes de Oceano,Sardinha,"Encontrado no Oceano, 6:00 – 19:00,  Primavera  ,  Outono  e  Inverno  .",Totem de teletransporte: Praia  (5)
95,Conjunto Peixes de Oceano,Atum,"Encontrado no Oceano, 6:00 – 19:00,  Verão  e  Inverno  .",Totem de teletransporte: Praia  (5)
96,Conjunto Peixes de Oceano,Cioba,"Encontrado no Oceano, 6:00 – 19:00,  Verão  e  Outono  . Apenas em clima chuvoso.",Totem de teletransporte: Praia  (5)
97,Conjunto Peixes de Oceano,Tilápia,"Encontrado no Oceano, 6:00 – 14:00,  Verão  e  Outono  .",Totem de teletransporte: Praia  (5)
98,Conjunto Peixes de Oceano,Totem de teletransporte: Praia  (5),Totem de teletransporte: Praia  (5),Totem de teletransporte: Praia  (5)
99,Conjunto Peixes de Rio,Peixe-sol,"Encontrado em Rios, 6:00 – 19:00,  Primavera  e  Verão  .",Isca  (30)
100,Conjunto Peixes de Rio,Bagre,"Encontrado em Rios, Qualquer hora,  Primavera  e  Outono  ; Lago do Bosque Secreto no  Verão  . Somente em clima chuvoso.",Isca  (30)
101,Conjunto Peixes de Rio,Alocine,"Encontrado em Rios, Qualquer hora,  Primavera  ,  Verão  e  Outono  . Somente em clima chuvoso.",Isca  (30)
102,Conjunto Peixes de Rio,Salmão híbrido,"Encontrado em Rios, 6:00 – 19:00,  Outono  e  Inverno  .",Isca  (30)
103,Conjunto Peixes de Rio,Isca  (30),Isca  (30),Isca  (30)
104,Conjunto Covo,Lagosta,Pego em  Covos  .,Covo  (3)
105,Conjunto Covo,Lagostim,Pego em  Covos  .,Covo  (3)
106,Conjunto Covo,Caranguejo,"Pego em  Covos  , deixado por  Caranguejo-pedra  nas  Minas  .",Covo  (3)
107,Conjunto Covo,Berbigão,"Pego em  Covos  ,  colete  na  Praia  .",Covo  (3)
108,Conjunto Covo,Mexilhão,"Pego em  Covos  ,  colete  na  Praia  .",Covo  (3)
109,Conjunto Covo,Camarão,Pego em  Covos,Covo  (3)
110,Conjunto Covo,Lesma,Pego em  Covos,Covo  (3)
111,Conjunto Covo,Caramujo,Pego em  Covos,Covo  (3)
112,Conjunto Covo,Ostra,"Pego em  Covos  ,  colete  na  Praia  .",Covo  (3)
113,Conjunto Covo,Concha,"Pego em  Covos  ,  colete  na  Praia  .",Covo  (3)
114,Conjunto Covo,Covo  (3),Covo  (3),Covo  (3)
115,Conjunto Pesca Noturna,Picão-verde,"Encontrando em Rios, 12:00 – 2:00,  Outono  . Apenas em clima chuvoso.",Anel de brilho pequeno  (1)
116,Conjunto Pesca Noturna,Brema,"Encontrado em Rios, 18:00 – 2:00, Todas as Estações.",Anel de brilho pequeno  (1)
117,Conjunto Pesca Noturna,Enguia,"Encontrado no Oceano, 16:00 – 2:00,  Primavera  e  Outono  . Apenas em clima chuvoso.",Anel de brilho pequeno  (1)
118,Conjunto Pesca Noturna,Anel de brilho pequeno  (1),Anel de brilho pequeno  (1),Anel de brilho pequeno  (1)
119,Conjunto Pesquisa de campo,Cogumelo roxo,"Obtenha nas  Minas  ,  na Caverna da Fazenda  (opção de Cogumelos),  no mapa da Fazenda na Floresta  Colete  no  Outono  .",Máquina de reciclagem  (1)
120,Conjunto Pesquisa de campo,Concha de náutilo,Colete  na  Praia  durante o  Inverno  .,Máquina de reciclagem  (1)
121,Conjunto Pesquisa de campo,Esquálio,Pode ser encontrado no rio e no lago da montanha em todas as estações.,Máquina de reciclagem  (1)
122,Conjunto Pesquisa de campo,Geodo congelado,As Minas  Andares 40-79,Máquina de reciclagem  (1)
123,Conjunto Pesquisa de campo,Máquina de reciclagem  (1),Máquina de reciclagem  (1),Máquina de reciclagem  (1)
124,Conjunto Plantações de Primavera,Chirívia,Plantações  de  Primavera  .,Solo Foliar  (20)
125,Conjunto Plantações de Primavera,Vagem,Plantações  de  Primavera  .,Solo Foliar  (20)
126,Conjunto Plantações de Primavera,Couve-flor,Plantações  de  Primavera  .,Solo Foliar  (20)
127,Conjunto Plantações de Primavera,Batata,Plantações  de  Primavera  .,Solo Foliar  (20)
128,Conjunto Plantações de Primavera,Solo Foliar  (20),Solo Foliar  (20),Solo Foliar  (20)
129,Conjunto Plantações de Verão,Tomate,Plantações  de  Verão  .,Aspersor de qualidade  (1)
130,Conjunto Plantações de Verão,Pimenta quente,Plantações  de  Verão  .,Aspersor de qualidade  (1)
131,Conjunto Plantações de Verão,Mirtilo,Plantações  de  Verão  .,Aspersor de qualidade  (1)
132,Conjunto Plantações de Verão,Melão,Plantações  de  Verão  .,Aspersor de qualidade  (1)
133,Conjunto Plantações de Verão,Aspersor de qualidade  (1),Aspersor de qualidade  (1),Aspersor de qualidade  (1)
134,Conjunto Plantações de Outono,Milho,Plantações  de  Outono  /  Verão  .,Apiário  (1)
135,Conjunto Plantações de Outono,Berinjela,Plantações  de  Outono  .,Apiário  (1)
136,Conjunto Plantações de Outono,Abóbora,Plantações  de  Outono  .,Apiário  (1)
137,Conjunto Plantações de Outono,Inhame,Plantações  de  Outono  .,Apiário  (1)
138,Conjunto Plantações de Outono,Apiário  (1),Apiário  (1),Apiário  (1)
139,Conjunto Plantações de Qualidade,Chirívia  (5),Plantações  de  Primavera  de Qualidade Dourada.,Jarra de conserva  (1)
140,Conjunto Plantações de Qualidade,Chirívia  (5),Chirívia  (5),Jarra de conserva  (1)
141,Conjunto Plantações de Qualidade,Melão  (5),Plantações  de  Verão  de Qualidade Dourada.,Jarra de conserva  (1)
142,Conjunto Plantações de Qualidade,Melão  (5),Melão  (5),Jarra de conserva  (1)
143,Conjunto Plantações de Qualidade,,,Jarra de conserva  (1)
144,Conjunto Plantações de Qualidade,,,Jarra de conserva  (1)
145,Conjunto Plantações de Qualidade,,,Jarra de conserva  (1)
146,Conjunto Plantações de Qualidade,(5),,Jarra de conserva  (1)
147,Conjunto Plantações de Qualidade,Jarra de conserva  (1),Jarra de conserva  (1),Jarra de conserva  (1)
148,Conjunto Recursos Exóticos,Coco,Colete  no  Deserto  .,Prato de outono  (5)
149,Conjunto Recursos Exóticos,Fruto do cacto,Colete  no  Deserto  .,Prato de outono  (5)
150,Conjunto Recursos Exóticos,Cenoura subterrânea,"Obtenha nas  Minas  , tanto quebrando caixas quanto  arando  o solo.",Prato de outono  (5)
151,Conjunto Recursos Exóticos,Cogumelo vermelho,"Colete  nas  Minas  , colete durante o  Outono  e o  Verão  no  Bosque Secreto  ,  na Caverna da Fazenda  (opção de Cogumelos),  Extraia  de uma  Árvore de cogumelo  .",Prato de outono  (5)
152,Conjunto Recursos Exóticos,Cogumelo roxo,"Obtenha nas  Minas  ,  na Caverna da Fazenda  (opção de Cogumelos),  no mapa da Fazenda na Floresta  Colete  no  Outono  .",Prato de outono  (5)
153,Conjunto Recursos Exóticos,Xarope de ácer,Extraia  de um  Ácer  .,Prato de outono  (5)
154,Conjunto Recursos Exóticos,Resina de carvalho,Extraia  de um  Carvalho  .,Prato de outono  (5)
155,Conjunto Recursos Exóticos,Alcatrão de pinho,Extraia  de um  Pinheiro  .,Prato de outono  (5)
156,Conjunto Recursos Exóticos,Morel,"Colete  no  Bosque Secreto  durante a  Primavera  ,  na Caverna da Fazenda  (opção de Cogumelos)",Prato de outono  (5)
157,Conjunto Recursos Exóticos,Prato de outono  (5),Prato de outono  (5),Prato de outono  (5)
158,Conjunto Tinta,Cogumelo vermelho,"Colete  nas  Minas  , colete durante o  Outono  e o  Verão  no  Bosque Secreto  ,  na Caverna da Fazenda  (opção de Cogumelos),  Extraia  de uma  Árvore de cogumelo  .",Gerador de sementes  (1)
159,Conjunto Tinta,Ouriço-do-mar,"Colete  na  Praia  , após usar 300 madeiras para consertar a ponte até o lado direito da praia.",Gerador de sementes  (1)
160,Conjunto Tinta,Girassol,Plantações  de  Verão  /  Outono  .,Gerador de sementes  (1)
161,Conjunto Tinta,Pena de pato,Patos,Gerador de sementes  (1)
162,Conjunto Tinta,Água-marinha,Nós de Águamarinha  e caixas na  Mina  .,Gerador de sementes  (1)
163,Conjunto Tinta,Repolho roxo,Plantações  de  Verão  . (  Sementes de repolho vermelho  estão disponíveis no  Armazém do Pierre  a partir do ano 2),Gerador de sementes  (1)
164,Conjunto Tinta,Gerador de sementes  (1),Gerador de sementes  (1),Gerador de sementes  (1)
