,Nome,Loja,Preço,Tipo,Dia,Anos,Tamanho,valor,moeda
104,Ursinho Tímido,carrinho_viagem(ouros),250–2 500 ouros,decoracao_parede,,,,25,0
105,Mapa Múndi,carrinho_viagem(ouros),,decoracao_parede,,,,,
106,Decalque do Céu Noturno,carrinho_viagem(ouros),,decoracao_parede,,,,,
107,Decalque do Céu Noturno #2,carrinho_viagem(ouros),,decoracao_parede,,,,,
108,Decalque do Céu Noturno #3,carrinho_viagem(ouros),,decoracao_parede,,,,,
109,Âncora,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
110,Calendário,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
111,Bandeirinhas,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
112,Escudo de Parede,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
113,Luz Joja-Cola,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
114,Fotos pequenas,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
115,Brasão do Mineiro,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
116,Decoração de Monstros,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
117,Poster de crânio,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
118,Ursinho Tímido,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
119,Mapa Múndi,catalogo(ouros),0 ouro,decoracao_parede,,,,0,ouro
120,Decalque do Céu Noturno,catalogo(ouros),,decoracao_parede,,,,,
121,Decalque do Céu Noturno #2,catalogo(ouros),,decoracao_parede,,,,,
122,Decalque do Céu Noturno #3,catalogo(ouros),,decoracao_parede,,,,,
123,Cristaleira,carpintaria(ouros),6 000 ouros,diversos,,,,6,000
124,Pilar de cerâmica,carpintaria(ouros),250 ouros,diversos,,,,250,ouros
125,Pilar de ouro,carpintaria(ouros),450 ouros,diversos,,,,450,ouros
126,Cano industrial,carpintaria(ouros),300 ouros,diversos,,,,300,ouros
127,Totem,carpintaria(ouros),750 ouros,diversos,,,,750,ouros
128,Tigela decorativa,carpintaria(ouros),250 ouros,diversos,,,,250,ouros
129,Lanterna Decorativa,carpintaria(ouros),500 ouros,diversos,,,,500,ouros
130,Globo,carpintaria(ouros),750 ouros,diversos,,,,750,ouros
131,Navio em Miniatura,carpintaria(ouros),750 ouros,diversos,,,,750,ouros
132,Pequeno Cristal,carpintaria(ouros),750 ouros,diversos,,,,750,ouros
133,Urso Futan,carpintaria(ouros),1 500 ouros,diversos,,,,1,500
134,Lixeira Decorativa,carpintaria(ouros),,diversos,,,,,
135,Estante de artista,carpintaria(ouros),1 200 ouros,estantes,,,,1,200
136,Estante moderna,carpintaria(ouros),1 600 ouros,estantes,,,,1,600
137,Estante luxuosa,carpintaria(ouros),2 000 ouros,estantes,,,,2,000
138,Estante negra,carpintaria(ouros),2 000 ouros,estantes,,,,2,000
139,Tronco Básico,Carpintaria  por  250 ouros,,itens_especiais,,,,,
140,Seção de Tronco,Carpintaria  por  350 ouros  Mercado Noturno  por  200 ouros  (  17 de Inverno  apenas),,itens_especiais,,,,,
141,Fardo de Feno Ornamental,Rancho da Marnie  por  250 ouros,,itens_especiais,,,,,
142,Doce Verde Grande,Mercado Noturno  por  200 ouros,,itens_especiais,,,,,
143,Doce Vermelho Grande,Mercado Noturno  por  200 ouros,,itens_especiais,,,,,
144,Doces Verdes,Mercado Noturno  por  200 ouros,,itens_especiais,,,,,
145,Doces Vermelhos,Mercado Noturno  por  200 ouros,,itens_especiais,,,,,
146,Doces Misturados,Mercado Noturno  por  200 ouros,,itens_especiais,,,,,
147,Flamingo de Jardim,Festival do Ovo  por  400 ouros,,itens_especiais,,,,,
148,Coelho de pelúcia,Festival do Ovo  por  2 000 ouros,,itens_especiais,,,,,
149,Decoração Sazonal,Dança das Flores  por  350 ouros  Mercado Noturno  por  500 ouros,,itens_especiais,,,,,
150,Barril de flores,Dança das Flores  por  250 ouros  Artesanato  (receita para comprar na  Dança das Flores  por  1 000 ouros  ),,itens_especiais,,,,,
151,Conjunto de chá,Presente no  Festival da Estrela Invernal,,itens_especiais,,,,,
152,Bloco de bateria,Artesanato  (receita recebida da  Robin  no seu evento de 6  )  Recompensa do  Museu  (  Tambor antigo  ),,itens_especiais,,,,,
153,Bloco de flauta,Artesanato  (receita recebida da  Robin  no seu evento de 6  )  Recompensa do  Museu  (  Flauta de ossos  ),,itens_especiais,,,,,
154,Máquina de Café,"Pedido Especial ""  Presentes para o George  """,,itens_especiais,,,,,
155,Computador da Fazenda,"Artesanato  (receita recebida após concluir os Pedidos Especiais ""  Superpopulação Aquática  ""  ou ""  Equilíbrio do Bioma  "")",,itens_especiais,,,,,
156,Mini-Jukebox,Gus  (Evento de 5  )  Artesanato  (receita recebida do  Gus  no seu evento de 5  ),,itens_especiais,,,,,
157,Telefone,Carpintaria  por  2 000 ouros,,itens_especiais,,,,,
158,Máquina de Costura,"Pedido Especial ""  Rejuvenescimento por Pedras  """,,itens_especiais,,,,,
159,Lápide,Véspera dos Espíritos  por  350 ouros  Mercado Noturno  por  200 ouros  (apenas em  15 de Inverno  ),,itens_especiais,,,,,
160,Estátua maligna,Artesanato  (receita para comprar na loja do  Krobus  por  1 000 ouros  ),,itens_especiais,,,,,
161,Sinal da Embarcação,Loja do  Krobus  por  350 ouros,,itens_especiais,,,,,
162,Moledro,Loja do  Anão  por  200 ouros,,itens_especiais,,,,,
163,Sapo de Pedra,Mercado Noturno  por  500 ouros  (apenas em  15 de Inverno  ),,itens_especiais,,,,,
164,Junimo de Pedra,Recado Secreto #14,,itens_especiais,,,,,
165,Coruja de Pedra,Mercado Noturno  por  500 ouros  (apenas em  17 de Inverno  ),,itens_especiais,,,,,
166,Coruja de pedra,Evento Aleatório  Raro,,itens_especiais,,,,,
167,Papagaio de Pedra,Mercado Noturno  por  500 ouros  (apenas em  16 de Inverno  ),,itens_especiais,,,,,
168,Armadura,Mercado Noturno  por  200 ouros  (apenas em  16 de Inverno  ),,itens_especiais,,,,,
169,??Foroguemon??,Encontrado em um local  secreto  .,,itens_especiais,,,,,
170,??HMTGF??,Encontrado em um local  secreto  .,,itens_especiais,,,,,
171,??Limão Rosa??,Encontrado em um local  secreto  .,,itens_especiais,,,,,
172,Lewis de Ouro Maciço,Recado Secreto #19,,itens_especiais,,,,,
173,Estátua da Riqueza Eterna,Cassino  por  1 000 000 ouros,,itens_especiais,,,,,
174,Estátua da perfeição,Recompensa da  Avaliação do Vovô,,itens_especiais,,,,,
175,Estátua da verdadeira perfeição,Recompensa por atingir 100% de  Perfeição,,itens_especiais,,,,,
176,Máquina de refrigerante,Complete o  Formulário de Melhorias Comunitárias Joja,,itens_especiais,,,,,
177,Troféu Vale do Orvalho,Reconstrua o  Centro Comunitário,,itens_especiais,,,,,
178,Arcade Júnimo Kart,"Vença o ""Modo de Progresso"" do  JunimoKart",,itens_especiais,,,,,
179,Arcade do Rei da Pradaria,Vença a  Jornada do Rei da Pradaria,,itens_especiais,,,,,
180,Janela básica,carpintaria(ouros),300 ouros,janelas,,,,300,ouros
181,Janela pequena,carpintaria(ouros),300 ouros,janelas,,,,300,ouros
182,Janela com tábuas,carpintaria(ouros),400 ouros,janelas,,,,400,ouros
183,Janela entalhada,carpintaria(ouros),900 ouros,janelas,,,,900,ouros
184,Janela de Metal,carpintaria(ouros),800 ouros,janelas,,,,800,ouros
185,Janela Ornamental,carpintaria(ouros),900 ouros,janelas,,,,900,ouros
186,Janela de navio,carpintaria(ouros),700 ouros,janelas,,,,700,ouros
187,Janela básica,pierre(ouros),,janelas,,,,,
188,Janela pequena,pierre(ouros),,janelas,,,,,
189,Janela com tábuas,pierre(ouros),,janelas,,,,,
190,Janela entalhada,pierre(ouros),,janelas,,,,,
191,Janela de Metal,pierre(ouros),,janelas,,,,,
192,Janela Ornamental,pierre(ouros),1 000 ouros,janelas,,,,1,000
193,Janela de navio,pierre(ouros),,janelas,,,,,
194,Lâmpada caipira,carpintaria(ouros),500 ouros,lampadas,,,,500,ouros
195,Lâmpada moderna,carpintaria(ouros),750 ouros,lampadas,,,,750,ouros
196,Lâmpada quadrada,carpintaria(ouros),750 ouros,lampadas,,,,750,ouros
197,Lâmpada clássica,carpintaria(ouros),1 000 ouros,lampadas,,,,1,000
198,Lamparina,carpintaria(ouros),1 000 ouros,lampadas,,,,1,000
199,Lâmpada Ornamental,carpintaria(ouros),1 050 ouros,lampadas,,,,1,050
200,Arandela,carpintaria(ouros),,lampadas,,,,,
201,Lâmpada caipira,carrinho_viagem(ouros),250–2 500 ouros,lampadas,,,,25,0
202,Lâmpada moderna,carrinho_viagem(ouros),250–2 500 ouros,lampadas,,,,25,0
203,Lâmpada quadrada,carrinho_viagem(ouros),250–2 500 ouros,lampadas,,,,25,0
204,Lâmpada clássica,carrinho_viagem(ouros),250–2 500 ouros,lampadas,,,,25,0
205,Lamparina,carrinho_viagem(ouros),,lampadas,,,,,
206,Lâmpada Ornamental,carrinho_viagem(ouros),,lampadas,,,,,
207,Arandela,carrinho_viagem(ouros),,lampadas,,,,,
208,Lâmpada caipira,oasis,,lampadas,,,,,
209,Lâmpada moderna,oasis,,lampadas,,,,,
210,Lâmpada quadrada,oasis,,lampadas,,,,,
211,Lâmpada clássica,oasis,,lampadas,,,,,
212,Lamparina,oasis,,lampadas,,,,,
213,Lâmpada Ornamental,oasis,,lampadas,,,,,
214,Arandela,oasis,500 ouros,lampadas,,,,500,ouros
215,Lareira de Tijolos,carpintaria(ouros),1 000 ouros,lareiras,,,,1,000
216,Lareira de Pedra,carpintaria(ouros),1 500 ouros,lareiras,,,,1,500
217,Lareira Elegante,carpintaria(ouros),,lareiras,,,,,
218,Lareira de Irídio,carpintaria(ouros),,lareiras,,,,,
219,Lareira Monstruosa,carpintaria(ouros),,lareiras,,,,,
220,Fogão-Lareira,carpintaria(ouros),3 000 ouros,lareiras,,,,3,000
221,Lareira de Tijolos,outros,Catálogo de Mobília,lareiras,,,,,
222,Lareira de Pedra,outros,Catálogo de Mobília,lareiras,,,,,
223,Lareira Elegante,outros,Catálogo de Mobília  Penny  (Evento de 14  ),lareiras,,,,,
224,Lareira de Irídio,outros,Mercado Noturno  por  15 000 ouros,lareiras,,,,,
225,Lareira Monstruosa,outros,Krobus  por  20 000 ouros,lareiras,,,,,
226,Fogão-Lareira,outros,Casa da Fazenda da Ilha,lareiras,,,,,
227,Mesa de jantar moderna,carpintaria(ouros),2 700 ouros,mesas_longas,,,,2,700
228,Mesa de jantar (mogno),carpintaria(ouros),3 000 ouros,mesas_longas,,,,3,000
229,Mesa de jantar festiva,carpintaria(ouros),3 500 ouros,mesas_longas,,,,3,500
230,Mesa de jantar de inverno,carpintaria(ouros),3 500 ouros,mesas_longas,,,,3,500
231,Mesa de jantar moderna,festivais(ouros),,mesas_longas,,,,,
232,Mesa de jantar (mogno),festivais(ouros),,mesas_longas,,,,,
233,Mesa de jantar festiva,festivais(ouros),3 000 ouros,mesas_longas,,,,3,000
234,Mesa de jantar de inverno,festivais(ouros),3 000 ouros,mesas_longas,,,,3,000
235,Mesa de carvalho,carpintaria(ouros),750 ouros,mesas,,,,750,ouros
236,Mesa de centro (carvalho),carpintaria(ouros),750 ouros,mesas,,,,750,ouros
237,Mesa de apoio (carvalho),carpintaria(ouros),500 ouros,mesas,,,,500,ouros
238,Mesa de bétula,carpintaria(ouros),750 ouros,mesas,,,,750,ouros
239,Mesa de centro (bétula),carpintaria(ouros),750 ouros,mesas,,,,750,ouros
240,Mesa de apoio (bétula),carpintaria(ouros),500 ouros,mesas,,,,500,ouros
241,Mesa de mogno,carpintaria(ouros),1 500 ouros,mesas,,,,1,500
242,Mesa de centro (mogno),carpintaria(ouros),1 500 ouros,mesas,,,,1,500
243,Mesa de apoio (mogno),carpintaria(ouros),1 000 ouros,mesas,,,,1,000
244,Mesa de nogueira,carpintaria(ouros),750 ouros,mesas,,,,750,ouros
245,Mesa de centro (nogueira),carpintaria(ouros),750 ouros,mesas,,,,750,ouros
246,Mesa de apoio (nogueira),carpintaria(ouros),500 ouros,mesas,,,,500,ouros
247,Mesa moderna,carpintaria(ouros),1 250 ouros,mesas,,,,1,250
248,Mesa de centro moderna,carpintaria(ouros),1 000 ouros,mesas,,,,1,000
249,Mesa de apoio moderna,carpintaria(ouros),800 ouros,mesas,,,,800,ouros
250,Mesa de quebra-cabeças,carpintaria(ouros),1 500 ouros,mesas,,,,1,500
251,Mesa de lua,carpintaria(ouros),2 500 ouros,mesas,,,,2,500
252,Mesa luxuosa,carpintaria(ouros),2 000 ouros,mesas,,,,2,000
253,Mesa de vidente,carpintaria(ouros),2 250 ouros,mesas,,,,2,250
254,Mesa de apoio da vovó,carpintaria(ouros),1 000 ouros,mesas,,,,1,000
255,Mesa de bar,carpintaria(ouros),800 ouros,mesas,,,,800,ouros
256,Mesa de luau,carpintaria(ouros),1 000 ouros,mesas,,,,1,000
257,Mesa negra,carpintaria(ouros),2 000 ouros,mesas,,,,2,000
258,Mesa de doces,carpintaria(ouros),1 000 ouros,mesas,,,,1,000
259,Mesa de sol,carpintaria(ouros),2 500 ouros,mesas,,,,2,500
260,Mesa de inverno,carpintaria(ouros),1 250 ouros,mesas,,,,1,250
261,Mesa de apoio de inverno,carpintaria(ouros),800 ouros  (  1 000 ouros  no  Festival do Gelo  ),mesas,,,,800,ouros
262,Mesa neolítica,carpintaria(ouros),1 800 ouros,mesas,,,,1,800
263,Mesa de centro,carpintaria(ouros),1 250 ouros,mesas,,,,1,250
264,Placa de pedra,carpintaria(ouros),1 000 ouros,mesas,,,,1,000
265,Estátua de urso,Recompensa do  Museu  (50 itens),,outras_decoracoes,,,,,
266,Estátua de galinha,Recompensa do  Museu  (  Estátua de galinha  ),,outras_decoracoes,,,,,
267,Urso Futan grande,Recompensa do  Museu  (30 itens)  Jogo do Guindaste no  Cinema,,outras_decoracoes,,,,,
268,Vaso de obsidiana,Recompensa do  Museu  (31  Minerais  ),,outras_decoracoes,,,,,
269,Pedra cantante,Recompensa do  Museu  (21  Minerais  ),,outras_decoracoes,,,,,
270,Estátua de esqueleto,Recompensa do  Museu  (15  Artefatos  ),,outras_decoracoes,,,,,
271,Esqueleto de preguiça  (E/M/D),Recompensa do  Museu  (  7 peças de osso  ),,outras_decoracoes,,,,,
272,Geodo,Recompensa do  Museu  (11  Minerais  ),,outras_decoracoes,,,,,
273,Gaiola de Borboletas,Comerciante do Deserto  por  Asa de morcego  (200),,outras_decoracoes,,,,,
274,Escultura da Leah,Leah  (Evento de 6  ),,outras_decoracoes,,,,,
275,Caixa de Som do Sam,Sam  (Evento de 14  ),,outras_decoracoes,,,,,
276,Coelho Futan,Jogo do Guindaste no  Cinema,,outras_decoracoes,,,,,
277,Pequena Pelúcia de Junimo,Jogo do Guindaste no  Cinema,,outras_decoracoes,,,,,
278,Estátua de Serpente Verde,Jogo do Guindaste no  Cinema,,outras_decoracoes,,,,,
279,Estátua de Serpente Roxa,Jogo do Guindaste no  Cinema,,outras_decoracoes,,,,,
280,Estátua de Bobo,Jogo do Guindaste no  Cinema,,outras_decoracoes,,,,,
281,Estátua de Wumbus,Jogo do Guindaste no  Cinema,,outras_decoracoes,,,,,
282,Pelúcia Junimo,Encontrado em uma localização  secreta  .,,outras_decoracoes,,,,,
283,Estátua do Gourmand,Pesca  na  Caverna do Pirata,,outras_decoracoes,,,,,
284,Krobus de Irídio,Pesca  no ponto mais ao sul da  Floresta Cinzaseiva,,outras_decoracoes,,,,,
285,Estátua de Esquilo,Pesca  na seção mais ao norte do rio na  Ilha Gengibre,,outras_decoracoes,,,,,
286,Águia Vermelha,,1 200 ouros,pinturas_mercado_noturno,15 de Inverno,"1, 4, 7, etc.",,1,200
287,Retrato de uma Sereia,,1 200 ouros,pinturas_mercado_noturno,16 de Inverno,"1, 4, 7, etc.",,1,200
288,Reino do Sol,,1 200 ouros,pinturas_mercado_noturno,17 de Inverno,"1, 4, 7, etc.",,1,200
289,Nuvens,,1 200 ouros,pinturas_mercado_noturno,15 de Inverno,"2, 5, 8, etc.",,1,200
290,1000 Anos no Futuro,,1 200 ouros,pinturas_mercado_noturno,16 de Inverno,"2, 5, 8, etc.",,1,200
291,Três Árvores,,1 200 ouros,pinturas_mercado_noturno,17 de Inverno,"2, 5, 8, etc.",,1,200
292,A Serpente,,1 200 ouros,pinturas_mercado_noturno,15 de Inverno,"3, 6, 9, etc.",,1,200
293,Peixe Tropical #173,,1 200 ouros,pinturas_mercado_noturno,16 de Inverno,"3, 6, 9, etc.",,1,200
294,Terra do Barro,,1 200 ouros,pinturas_mercado_noturno,17 de Inverno,"3, 6, 9, etc.",,1,200
295,Uma Noite em Ecolina,carpintaria(ouros),,pinturas,,,,,
296,Colinas de Jade,carpintaria(ouros),,pinturas,,,,,
297,Colinas de Jade Extendidas,carpintaria(ouros),,pinturas,,,,,
298,Oferta Queimada,carpintaria(ouros),,pinturas,,,,,
299,Rodovia 89,carpintaria(ouros),,pinturas,,,,,
300,Movimento Primordial,carpintaria(ouros),,pinturas,,,,,
301,Pináculos,carpintaria(ouros),800 ouros,pinturas,,,,800,ouros
302,Rainha do Mar de Joias,carpintaria(ouros),,pinturas,,,,,
303,Caminhos,carpintaria(ouros),,pinturas,,,,,
304,O Muzamaro,carpintaria(ouros),,pinturas,,,,,
305,Vila de Baunilha,carpintaria(ouros),,pinturas,,,,,
306,Paraíso VGA,carpintaria(ouros),,pinturas,,,,,
307,Sonhos Congelados,carpintaria(ouros),,pinturas,,,,,
308,Barco,carpintaria(ouros),,pinturas,,,,,
309,Pintura de Vegetação,carpintaria(ouros),,pinturas,,,,,
310,Básicos da Física,carpintaria(ouros),,pinturas,,,,,
311,Mestrepipa 95,carpintaria(ouros),,pinturas,,,,,
312,Sol nº 44,carpintaria(ouros),,pinturas,,,,,
313,Cataratas de Calico,carpintaria(ouros),750 ouros,pinturas,,,,750,ouros
314,Sol nº 45,carpintaria(ouros),350 ouros,pinturas,,,,350,ouros
315,Cidade Azul,carpintaria(ouros),250 ouros,pinturas,,,,250,ouros
316,Mirtilos,carpintaria(ouros),250 ouros,pinturas,,,,250,ouros
317,Arvorezinha,carpintaria(ouros),350 ouros,pinturas,,,,350,ouros
318,Flor bordada,carpintaria(ouros),500 ouros,pinturas,,,,500,ouros
319,Grama dançante,carpintaria(ouros),400 ouros,pinturas,,,,400,ouros
320,Minha Primeira Pintura,carpintaria(ouros),,pinturas,,,,,
321,Pinturas Coloridas,carpintaria(ouros),500 ouros,pinturas,,,,500,ouros
322,Paisagem,carpintaria(ouros),,pinturas,,,,,
323,Foto do Vulcão,carpintaria(ouros),,pinturas,,,,,
324,Uma Noite em Ecolina,cassino(qicoin),,pinturas,,,,,
325,Colinas de Jade,cassino(qicoin),,pinturas,,,,,
326,Colinas de Jade Extendidas,cassino(qicoin),,pinturas,,,,,
327,Oferta Queimada,cassino(qicoin),4 000,pinturas,,,,4,000
328,Rodovia 89,cassino(qicoin),4 000,pinturas,,,,4,000
329,Movimento Primordial,cassino(qicoin),5 000,pinturas,,,,5,000
