,Nome,Tipo,Descrição,Efeito,Localização,Ingredientes,Preço de Compra,Preço de Venda,Estatísticas,Conquista,Como obter
123,Capacete Dourado,chapeus,É a metade de um coco dourado.,,,,,,,,Coco Dourado  (5% de chance ao abrir)
124,Chapéu de Pirata de Luxo,chapeus,Só o pirata mais infame poderia vestir isso.,,,,,,,,Baús na  Caverna do Vulcão
125,Laço Rosa,chapeus,Este laço gigante é uma declaração e tanto!,,,,,,,,Vendido pelo anão na  Caverna do Vulcão
126,Chapéu de Sapo,chapeus,Um amigo pegajoso que vive na sua cabeça.,,,,,,,,Pesca na caverna do  Sapo Gourmand  na  Ilha Gengibre
127,Boné Pequeno,chapeus,É um estilo de boné mais aerodinâmico.,,,,,,,,Comerciante da Ilha  às Segundas por 30  Inhames-coco  .
128,Máscara de Pássaro Azul,chapeus,Use isto para ficar igual ao se comerciante favorito da ilha.,,,,,,,,Comerciante da Ilha  às Quartas por 30  Inhames-coco  .
129,Chapéu de Caubói de Luxo,chapeus,Um chapéu de caubói com um formato mais extremo.,,,,,,,,Comerciante da Ilha  às Sextas por 30  Inhames-coco  .
130,Chapéu do Sr. Qi,chapeus,Uma réplica do chapéu icônico do Sr. Qi.,,,,,,,,Sala de Nozes do Sr. Qi  por  5  .
131,Chapéu de Caubói Escuro,chapeus,Um chapéu de caubói em um clássico preto.,,,,,,,,Obtido aleatoriamente em  Salas de Tesouro na Caverna da Caveira
132,Óculos Radioativos,chapeus,Na verdade não fornece nenhuma proteção contra radiação.,,,,,,,,Alfaiataria
133,Chapéu de Espadachim,chapeus,A clássica vestimenta de um espadachim.,,,,,,,,Alfaiataria
134,Máscara Qi,chapeus,???,,,,,,,,Alfaiataria
135,Chapéu de Estrela,chapeus,Um chapéu vermelho com estrelas.,,,,,,,,Alfaiataria
136,Óculos de Sol,chapeus,Eles te dão uma aparência relaxada.,,,,,,,,Alfaiataria
137,Óculos de Proteção,chapeus,Você vai se sentir muito mais seguro com eles.,,,,,,,,Alfaiataria
138,Chapéu de Coletor,chapeus,É o deleite de um coletor.,,,,,,,,Alfaiataria
139,Chapéu de Tigre,chapeus,Faz você parecer um belíssimo tigre.,,,,,,,,Drop aleatório de  Gosmas-Tigre
140,Capacete de Guerreiro,chapeus,Uma casca de ovo de avestruz reutilizado como capacete.,,,,,,,,Alfaiataria
141,???,chapeus,???,,,,,,,,Interaja com o macaco na  Cratera do Vulcão  após alcançar 100% de  Perfeição  .
