,Unnamed: 0,Aldeão,Aniversário,Ama  (+80),Gosta (+45),Neutro (+20),Não Gosta (-20),Odeia  (-40)
21,21,Jas,Verão  4,Bolo rosa  Pudim de ameixa  Rosa-de-fada,Coco  Narciso,Todos os Leites,"Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Coco  e  Frutas de árvores frutíferas  )  Todos os Ovos  Todos os  Vegetais  (exceto  Folhas de Chá  ,  Lúpulo  e  Trigo  )  Alho-poró  Avelã  Azevinho  Dente-de-leão  Gengibre  Inhame de neve  Quartzo  Raiz de inverno","Todos as  Mercadorias Artesanais  (exceto  Geléia  ,  Mel  e  Óleo  )  Argila  Café Expresso  Triplo  Piña Colada  Raiz-forte"
22,22,Jodi,Outono  11,Achigã Crocante  Bolo de chocolate  Diamante  Enguia frita  Mexido de legumes  Panquecas  Parmesão com  berinjela  Torta de ruibarbo,Todas as  Frutas  (exceto  Café de jardim  )  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  ),,Todos os Cogumelos  (exceto  vermelho  )  Alho  Alho-poró  Avelã  Azevinho  Gengibre  Inhame de neve  Quartzo  Raiz-forte  Raiz de inverno,Café de jardim  Dente-de-leão  Narciso
23,23,Kent,Primavera  4,Avelãs torradas  Risoto de samambaia,Todas as  Frutas  Todos os Ovos  (exceto  Ovo nulo  )  Narciso,Todos os Cogumelos  (exceto  vermelho  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Raiz-forte  Raiz de inverno,Inhame de neve  Piña Colada  Quartzo,Todos os Leites  Azevinho  Sashimi  Sopa de alga  Tortilha
24,24,Krobus,Inverno  1,Abóbora  Barra de irídio  Diamante  Maionese nula  Ovo nulo  Raiz-forte,Barra de ouro  Pudim de espuma  do mar  Quartzo,Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  ),"Todos os Cogumelos  (exceto  vermelho  )  Todos os  Pratos cozidos  (exceto  Ovo frito  ,  Pão  ,  Pão estranho  e  Pudim de espuma do mar  )  Alho-poró  Amora-silvestre  Avelã  Azevinho  Dente-de-leão  Elixir da vida  Gengibre  Inhame de neve  Narciso  Raiz de inverno",
25,25,Leo,Verão  26,Manga  Ovo de Avestruz  Pena de pato  Poi,Café de jardim  Concha arco-íris  Concha de náutilo  Dente de Dragão  Quartzo  Ouriço-do-mar,"Todos os Ovos  (exceto  Ovo de Avestruz  e  Ovo nulo  )  Todos os  Peixes  Todos as  Frutas  (exceto  Amora-silvestre  ,  Café de jardim  e  Manga  )  Todos os Leites  Café","Todos os  Pratos Cozidos  (exceto  Arroz Doce de Manga  ,  Café Expresso Triplo  ,  Ovo frito  ,  Pão  e  Poi  )  Todos os Cogumelos  (exceto  Morel  e  vermelho  )  Alho-poró  Amora-silvestre  Avelã  Dente-de-leão  Elixir da vida  Gengibre  Inhame de neve  Narciso  Picles  Raiz-forte  Raiz de inverno",Arroz não moído  Azevinho  Café Expresso  Triplo  Cerveja  Hidromel  Lúpulo  Morel  Óleo  Pale Ale  Piña Colada  Vinho
26,26,Lewis,Primavera  7,Chá Verde  Inhames com  cobertura  Mexido de legumes  Pimenta quente  Prato de outono,Coco  Fruto do cacto  Mirtilo,"Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Amora-silvestre  ,  Coco  ,  Frutas de árvores frutíferas  ,  Fruto do cacto  ,  Mirtilo  e  Pimenta quente  )  Todos os Ovos  (exceto  Ovo nulo  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Raiz de inverno",Todos os Leites  Amora-silvestre  Raiz-forte,Azevinho  Quartzo
27,27,Linus,Inverno  3,Coco  Fruto do cacto  Inhame  Prato do mar  Torta de Mirtilo,Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Coco  e  Fruto do cacto  )  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  )  Alho-poró  Avelã  Azevinho  Cebolinha  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Raiz-forte  Raiz de inverno,Todos os  Peixes  (exceto  Carpa  e  Lesma  ),Todas as  Gemas  (exceto  Diamante  e  Fragmento prismático  )  Todos os  Minerais de coleta,
28,28,Marnie,Outono  18,Almoço de  fazendeiro  Bolo rosa  Diamante  Torta de abóbora,Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  )  Quartzo,Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Raiz de inverno,Algas marinhas  Amora-silvestre  Raiz-forte,Argila  Azevinho
29,29,Pam,Primavera  18,Cerveja  Chirívia  Fruto do cacto  Hidromel  Inhames com  cobertura  Pale Ale  Piña Colada  Sopa de chirívia,Todas as  Frutas  (exceto  Fruto do cacto  )  Todos os Leites  Narciso,"Todos os Cogumelos  (exceto  vermelho  )  Todos os  Peixes  (exceto  Carpa  ,  Lesma  ,  Lula  e  Polvo  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Raiz de inverno",Todos os Ovos  Quartzo  Raiz-forte,Azevinho  Lula  Polvo
30,30,Pierre,Primavera  26,Lula frita,Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  )  Dente-de-leão  Narciso,Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  ),Todos os Cogumelos  (exceto  vermelho  )  Todas as  Gemas  (exceto  Diamante  e  Fragmento prismático  )  Todos os  Minerais de coleta  Alho-poró  Amora-silvestre  Avelã  Azevinho  Gengibre  Inhame de neve  Raiz-forte  Raiz de inverno,Todos os  Peixes  Alho  Milho  Sopa de chirívia  Tortilha
31,31,Robin,Outono  21,Espaguete  Pêssego  Queijo de cabra,Todas as  Frutas  (exceto  Pêssego  )  Todos os Leites  Madeira de lei  Quartzo,Todos os Cogumelos  (exceto  vermelho  )  Todos os Ovos  (exceto  Ovo nulo  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Raiz de inverno,Raiz-forte,Azevinho
32,32,Sandy,Outono  15,Arroz Doce de Manga  Ervilha-de-cheiro  Flor de açafrão  Narciso,Todas as  Frutas  Lã  Leite de cabra  Leite grande de cabra  Quartzo,Todos os Cogumelos  (exceto  vermelho  )  Todos os Ovos  (exceto  Ovo nulo  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Leite  Leite grande  Raiz-forte  Raiz de inverno,,Azevinho
33,33,Vincent,Primavera  10,Bolo rosa  Doce de oxicoco  Ginger Ale  Lesma  Uva,Coco  Narciso,Todos os Leites,"Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Coco  ,  Frutas de árvores frutíferas  e  Uva  )  Todos os Ovos  Todos os  Vegetais  (exceto  Folhas de Chá  ,  Lúpulo  e  Trigo  )  Alho-poró  Avelã  Azevinho  Dente-de-leão  Gengibre  Inhame de neve  Quartzo  Raiz de inverno","Todos as  Mercadorias Artesanais  (exceto  Geléia  ,  Mel  e  Óleo  )  Argila  Café Expresso  Triplo  Piña Colada  Raiz-forte"
34,34,Willy,Verão  24,Abóbora  Bagre  Barra de irídio  Diamante  Esturjão  Hidromel  Pepino-do-mar  Polvo,Barra de ouro  Ófis  Pudim de espuma  do mar  Quartzo  Salmão híbrido,"Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  )  Todos os  Peixes  (exceto  Bagre  ,  Carpa  ,  Esturjão  ,  Lesma  ,  Ófis  ,  Pepino-do-mar  ,  Polvo  e  Salmão híbrido  )  Prato do mar  Rolinhos de arroz  Sashimi","Todos os Cogumelos  (exceto  vermelho  )  Todos os  Pratos cozidos  (exceto  Ovo frito  ,  Pão  e  Pão estranho  ; os pratos de peixe para os quais ele é neutro:  Prato do mar  ,  Rolinhos de arroz  e  Sashimi  ; e os pratos de peixe que ele gosta:  Achigã Crocante  ,  Bisque de lagosta  ,  Bolinhos de caranguejo  ,  Carpa-surpresa  ,  Enguia frita  ,  Guisado de peixe  ,  Jantar de salmão  ,  Lula frita  ,  Peixe cozido  ,  Pudim de espuma do mar  ,  Sopa de peixe  ,  Sopa de truta  e  Taco de peixe  )  Alho-poró  Amora-silvestre  Avelã  Azevinho  Dente-de-leão  Elixir da vida  Gengibre  Inhame de neve  Narciso  Raiz-forte  Raiz de inverno",
