,item,XP,Profissao,estacao_condicao,XP_condicional
32,Fruto do cacto,14.0,cultivo,Primavera,
33,Fruto do cacto,14.0,cultivo,Verão,
34,Girassol,14.0,cultivo,Outono,
35,Girassol,14.0,cultivo,Verão,
36,Grão de café,4.0,cultivo,Primavera,
37,Grão de café,4.0,cultivo,Verão,
38,Inhame,22.0,cultivo,Outono,
39,Inhame-coco,16.0,cultivo,Verão,
40,Jasmim-Azul,10.0,cultivo,Primavera,
41,Lúpulo,6.0,cultivo,Verão,
42,Melão,27.0,cultivo,Verão,
43,Milho,10.0,cultivo,Outono,
44,Milho,10.0,cultivo,Verão,
45,Mirtilo,10.0,cultivo,Verão,
46,Morango,18.0,cultivo,Primavera,
47,Oxicoco,14.0,cultivo,Outono,
48,Papoula,20.0,cultivo,Verão,
49,Pimenta quente,9.0,cultivo,Verão,
50,Rabanete,15.0,cultivo,Verão,
51,Repolho roxo,28.0,cultivo,Verão,
52,Rosa-de-fada,29.0,cultivo,Outono,
53,Ruibarbo,26.0,cultivo,Primavera,
54,Tomate,12.0,cultivo,Verão,
55,Trigo,6.0,cultivo,Outono,
56,Trigo,6.0,cultivo,Verão,
57,Tulipa,7.0,cultivo,Primavera,
58,Uva,14.0,cultivo,Outono,
59,Vagem,9.0,cultivo,Primavera,
