,Nome,Descrição,Ingredientes_item,Ingredientes_qtd,Fonte da Receita,Origem da Receita,Dura Por,Energia,Saúde
39,Megabomba,Gera uma explosão poderosa. Utilize com o máximo de cuidado.,Minério de ouro,4.0,,Mineração  nível 8,,,
40,Megabomba,Gera uma explosão poderosa. Utilize com o máximo de cuidado.,Essência solar,1.0,,Mineração  nível 8,,,
41,Megabomba,Gera uma explosão poderosa. Utilize com o máximo de cuidado.,Essência nula,1.0,,Mineração  nível 8,,,
43,Portão,Permite passar por uma cerca.,Madeira,10.0,Início do jogo,,100 dias,,
45,Cerca de madeira,Retém grama e animais!,Madeira,2.0,Início do jogo,,46-66 dias,,
47,Cerca de Pedra,Dura mais que uma cerca de madeira.,Pedra,2.0,Cultivo  nível 2,,110-132 dias,,
49,Cerca de ferro,Dura mais que uma cerca de pedra.,Barra de ferro,1.0,Cultivo  nível 4,,240-264 dias,,
51,Cerca de madeira de lei,Um tipo especial de madeira. Muito bonita e resistente.,Madeira de lei,1.0,Cultivo  nível 6,,558-562 dias,,
53,Piso de madeira,Ponha no chão para criar caminhos ou decorá-lo.,Madeira,1.0,Carpintaria  por  100 ouros,,,,
55,Piso Rústico de Tábuas,Coloque no chão para criar caminhos ou para decorá-los.,Madeira,1.0,Carpintaria  por  200 ouros,,,,
57,Piso de palha,Ponha no chão para criar caminhos ou incrementá-lo.,Madeira,1.0,Carpintaria  por  200 ouros,,,,
58,Piso de palha,Ponha no chão para criar caminhos ou incrementá-lo.,Fibra,1.0,Carpintaria  por  200 ouros,,,,
60,Piso desgastado,Ponha no chão para criar caminhos ou incrementá-lo.,Madeira,1.0,Anão  (  500 ouros  ),,,,
62,Piso de cristal  (5),Ponha no chão para criar caminhos ou incrementá-lo.,Quartzo refinado,1.0,Krobus  (  500 ouros  ),,,,
64,Piso de pedra,Ponha no chão para criar caminhos ou incrementá-lo.,Pedra,1.0,Carpintaria  por  100 ouros,,,,
66,Piso Passarela de Pedra,Coloque no chão para criar caminhos ou para decorá-los.,Pedra,1.0,Carpintaria  por  200 ouros,,,,
68,Piso de tijolo  (5),Ponha no chão para criar caminhos ou decorá-lo.,Argila,2.0,Carpintaria  por  500 ouros,,,,
69,Piso de tijolo  (5),Ponha no chão para criar caminhos ou decorá-lo.,Pedra,5.0,Carpintaria  por  500 ouros,,,,
71,Caminho de madeira,Ponha no chão para criar caminhos ou incrementá-lo.,Madeira,1.0,Início,,,,
73,Caminho de cascalho,Ponha no chão para criar caminhos ou incrementá-lo.,Pedra,1.0,Início,,,,
75,Caminho de pedra arredondada,Ponha no chão para criar caminhos ou incrementá-lo.,Pedra,1.0,Início,,,,
77,Caminho de Pedras Polidas,Ponha no chão para criar caminhos e incrementá-lo.,Pedra,1.0,Carpintaria  por  100 ouros,,,,
79,Caminho de cristal  (5),Ponha no chão para criar caminhos ou incrementá-lo.,Quartzo refinado,1.0,Carpintaria  por  200 ouros,,,,
81,Baú,Feito para armazenar seus itens.,Madeira,50.0,Início do jogo,,,,
83,Placa de Madeira,Use um item nele para mudar o que é exibido. O item não será consumido.,Madeira,25.0,Início do jogo,,,,
85,Placa de Pedra,Use um item nele para mudar o que é exibido. O item não será consumido.,Pedra,25.0,Início do jogo,,,,
87,Vaso de Jardim,"Crie plantações de qualquer estação em ambientes fechados. Ao ar livre, só pode abrigar plantações sazonais.",Argila,1.0,Cinemática com a  Evelyn  depois de completar a  estufa  .,,,,
88,Vaso de Jardim,"Crie plantações de qualquer estação em ambientes fechados. Ao ar livre, só pode abrigar plantações sazonais.",Pedra,10.0,Cinemática com a  Evelyn  depois de completar a  estufa  .,,,,
89,Vaso de Jardim,"Crie plantações de qualquer estação em ambientes fechados. Ao ar livre, só pode abrigar plantações sazonais.",Quartzo refinado,1.0,Cinemática com a  Evelyn  depois de completar a  estufa  .,,,,
91,Espantalho,Evita que corvos ataquem suas plantações. Tem um raio limitado (cerca de 8 espaços).,Madeira,50.0,Cultivo  nível 1,,,,
92,Espantalho,Evita que corvos ataquem suas plantações. Tem um raio limitado (cerca de 8 espaços).,Carvão,1.0,Cultivo  nível 1,,,,
93,Espantalho,Evita que corvos ataquem suas plantações. Tem um raio limitado (cerca de 8 espaços).,Fibra,20.0,Cultivo  nível 1,,,,
95,Espantalho de luxo,"Previne que corvos ataquem suas plantas. Tem um grande alcance (cerca de 16 ""blocos"").",Madeira,50.0,Carta após coletar todos os  Espantalhos Raros,,,,
96,Espantalho de luxo,"Previne que corvos ataquem suas plantas. Tem um grande alcance (cerca de 16 ""blocos"").",Fibra,40.0,Carta após coletar todos os  Espantalhos Raros,,,,
97,Espantalho de luxo,"Previne que corvos ataquem suas plantas. Tem um grande alcance (cerca de 16 ""blocos"").",Minério de irídio,1.0,Carta após coletar todos os  Espantalhos Raros,,,,
99,Escadaria,Utilize-a para descer um nível nas minas.,Pedra,99.0,Mineração  nível 2,,,,
101,Munição explosiva,Utilize-a com o estilingue.,Barra de ferro,1.0,Combate  nível 8,,,,
102,Munição explosiva,Utilize-a com o estilingue.,Carvão,2.0,Combate  nível 8,,,,
104,Transmutar (Fe),Uma barra de ferro puro.,Barra de cobre,3.0,Mineração  nível 4,,,,
106,Transmutar (Au),Uma barra de ouro puro.,Barra de ferro,2.0,Mineração  nível 7,,,,
108,Totem de teletransporte: Praia,Transporta direto para a praia. Consumido após utilização.,Madeira de lei,1.0,Coleta  nível 6,,,,
109,Totem de teletransporte: Praia,Transporta direto para a praia. Consumido após utilização.,Coral,2.0,Coleta  nível 6,,,,
110,Totem de teletransporte: Praia,Transporta direto para a praia. Consumido após utilização.,Fibra,10.0,Coleta  nível 6,,,,
112,Totem de teletransporte: Montanhas,Transporta direto para as montanhas. Consumido após utilização.,Madeira de lei,1.0,Coleta  nível 7,,,,
113,Totem de teletransporte: Montanhas,Transporta direto para as montanhas. Consumido após utilização.,Barra de ferro,1.0,Coleta  nível 7,,,,
114,Totem de teletransporte: Montanhas,Transporta direto para as montanhas. Consumido após utilização.,Pedra,25.0,Coleta  nível 7,,,,
116,Totem de teletransporte: Fazenda,Transporta direto para a sua casa. Consumido após utilização.,Madeira de lei,1.0,Coleta  nível 8,,,,
117,Totem de teletransporte: Fazenda,Transporta direto para a sua casa. Consumido após utilização.,Mel,1.0,Coleta  nível 8,,,,
118,Totem de teletransporte: Fazenda,Transporta direto para a sua casa. Consumido após utilização.,Fibra,20.0,Coleta  nível 8,,,,
120,Totem de Teletransporte: Deserto,Transporta direto para o Deserto Calico. Consumido após utilização.,Madeira de lei,2.0,Comerciante do Deserto  por  Barra de irídio  (10),,,,
121,Totem de Teletransporte: Deserto,Transporta direto para o Deserto Calico. Consumido após utilização.,Coco,1.0,Comerciante do Deserto  por  Barra de irídio  (10),,,,
122,Totem de Teletransporte: Deserto,Transporta direto para o Deserto Calico. Consumido após utilização.,Minério de irídio,4.0,Comerciante do Deserto  por  Barra de irídio  (10),,,,
124,Totem de Teletransporte: Ilha,Teletransporta direto para a Ilha Gengibre. Consumido após utilização.,Madeira de lei,5.0,Loja da Caverna do Vulcão  por  10 000 ouros,,,,
125,Totem de Teletransporte: Ilha,Teletransporta direto para a Ilha Gengibre. Consumido após utilização.,Dente de Dragão,1.0,Loja da Caverna do Vulcão  por  10 000 ouros,,,,
126,Totem de Teletransporte: Ilha,Teletransporta direto para a Ilha Gengibre. Consumido após utilização.,Gengibre,1.0,Loja da Caverna do Vulcão  por  10 000 ouros,,,,
128,Totem de chuva,Ative para aumentar grandemente a chance de chuva para amanhã. Consumido após utilização.,Madeira de lei,1.0,Coleta  nível 9,,,,
129,Totem de chuva,Ative para aumentar grandemente a chance de chuva para amanhã. Consumido após utilização.,Óleo de trufas,1.0,Coleta  nível 9,,,,
130,Totem de chuva,Ative para aumentar grandemente a chance de chuva para amanhã. Consumido após utilização.,Alcatrão de pinho,5.0,Coleta  nível 9,,,,
132,Carvoaria,Transforma 10 pedaços de madeira em um grande pedaço de carvão.,Madeira,20.0,Coleta  nível 4,,,,
133,Carvoaria,Transforma 10 pedaços de madeira em um grande pedaço de carvão.,Barra de ouro,1.0,Coleta  nível 4,,,,
135,Cristalário,Insira uma joia de sua escolha e ele a copiará.,Pedra,99.0,Mineração  nível 9,,,,
136,Cristalário,Insira uma joia de sua escolha e ele a copiará.,Barra de ouro,5.0,Mineração  nível 9,,,,
137,Cristalário,Insira uma joia de sua escolha e ele a copiará.,Barra de irídio,2.0,Mineração  nível 9,,,,
138,Cristalário,Insira uma joia de sua escolha e ele a copiará.,Conjunto de pilhas,1.0,Mineração  nível 9,,,,
140,Fornalha,Transforma minério e carvão em barras de metal.,Minério de cobre,20.0,Clint  (na manhã seguinte ao coletar 1+  Minério de cobre  ),,,,
141,Fornalha,Transforma minério e carvão em barras de metal.,Pedra,25.0,Clint  (na manhã seguinte ao coletar 1+  Minério de cobre  ),,,,
143,Para-raios,Coleciona energia de tempestades de raios e transforma-a em baterias.,Barra de ferro,1.0,Coleta  nível 6,,,,
144,Para-raios,Coleciona energia de tempestades de raios e transforma-a em baterias.,Quartzo refinado,1.0,Coleta  nível 6,,,,
145,Para-raios,Coleciona energia de tempestades de raios e transforma-a em baterias.,Asa de morcego,5.0,Coleta  nível 6,,,,
147,Máquina de reciclagem,Transforma restos de pesca em recursos.,Madeira,25.0,Pesca  nível 4,,,,
148,Máquina de reciclagem,Transforma restos de pesca em recursos.,Pedra,25.0,Pesca  nível 4,,,,
149,Máquina de reciclagem,Transforma restos de pesca em recursos.,Barra de ferro,1.0,Pesca  nível 4,,,,
151,Gerador de sementes,Ponha produtos colhidos dentro dele para produzir diversos tipos de sementes. Não funciona com árvores frutíferas.,Madeira,25.0,Cultivo  nível 9,,,,
152,Gerador de sementes,Ponha produtos colhidos dentro dele para produzir diversos tipos de sementes. Não funciona com árvores frutíferas.,Carvão,10.0,Cultivo  nível 9,,,,
153,Gerador de sementes,Ponha produtos colhidos dentro dele para produzir diversos tipos de sementes. Não funciona com árvores frutíferas.,Barra de ouro,1.0,Cultivo  nível 9,,,,
155,Incubador de gosmas,Chocas os ovos de gosmas. Permite criar gosmas em ambientes externos.,Barra de irídio,2.0,Combate  nível 8,,,,
156,Incubador de gosmas,Chocas os ovos de gosmas. Permite criar gosmas em ambientes externos.,Gosma,100.0,Combate  nível 8,,,,
158,Incubadora de Avestruzes,Choca ovos de avestruz em bebês avestruzes. Coloque em um celeiro.,Fragmento de Osso,50.0,Complete a coleção do  Escritório local da ilha,,,,
159,Incubadora de Avestruzes,Choca ovos de avestruz em bebês avestruzes. Coloque em um celeiro.,Madeira de lei,50.0,Complete a coleção do  Escritório local da ilha,,,,
160,Incubadora de Avestruzes,Choca ovos de avestruz em bebês avestruzes. Coloque em um celeiro.,Fragmento de Brasa,20.0,Complete a coleção do  Escritório local da ilha,,,,
162,Prensa de Gosmas,Comprime 100 pedaços de gosmas em um ovo de gosmas. É um milagre científico!,Carvão,25.0,Combate  nível 6,,,,
163,Prensa de Gosmas,Comprime 100 pedaços de gosmas em um ovo de gosmas. É um milagre científico!,Quartzo de fogo,1.0,Combate  nível 6,,,,
164,Prensa de Gosmas,Comprime 100 pedaços de gosmas em um ovo de gosmas. É um milagre científico!,Conjunto de pilhas,1.0,Combate  nível 6,,,,
166,Torneirinha,"Ponha em um ácer, carvalho ou pinheiro e espere o reservatório se encher!",Madeira,40.0,Coleta  nível 3,,,,
167,Torneirinha,"Ponha em um ácer, carvalho ou pinheiro e espere o reservatório se encher!",Barra de cobre,2.0,Coleta  nível 3,,,,
169,Torneirinha Pesada,"Ponha em um ácer, carvalho ou pinheiro e espere o reservatório se encher! Funciona duas vezes mais rápido que uma torneirinha normal.",Madeira de lei,30.0,Sala de Nozes do Sr. Qi  por  20,,,,
170,Torneirinha Pesada,"Ponha em um ácer, carvalho ou pinheiro e espere o reservatório se encher! Funciona duas vezes mais rápido que uma torneirinha normal.",Barra Radioativa,1.0,Sala de Nozes do Sr. Qi  por  20,,,,
172,Cesto de minhocas,Produz iscas regularmente. As minhocas se sustentam sozinhas.,Madeira de lei,25.0,Pesca  nível 4,,,,
173,Cesto de minhocas,Produz iscas regularmente. As minhocas se sustentam sozinhas.,Barra de ouro,1.0,Pesca  nível 4,,,,
174,Cesto de minhocas,Produz iscas regularmente. As minhocas se sustentam sozinhas.,Barra de ferro,1.0,Pesca  nível 4,,,,
175,Cesto de minhocas,Produz iscas regularmente. As minhocas se sustentam sozinhas.,Fibra,50.0,Pesca  nível 4,,,,
177,Cesto de Minhocas de Luxo,Produz iscas de luxo regularmente. As minhocas se sustentam sozinhas.,Cesto de minhocas,1.0,Pesca  Nível 8,,,,
178,Cesto de Minhocas de Luxo,Produz iscas de luxo regularmente. As minhocas se sustentam sozinhas.,Musgo,30.0,Pesca  Nível 8,,,,
180,Moedor de Ossos,Transforma itens de osso em fertilizantes.,Fragmento de Osso,10.0,Gunther  (  Pedido Especial  ),,,,
181,Moedor de Ossos,Transforma itens de osso em fertilizantes.,Argila,3.0,Gunther  (  Pedido Especial  ),,,,
182,Moedor de Ossos,Transforma itens de osso em fertilizantes.,Pedra,20.0,Gunther  (  Pedido Especial  ),,,,
184,Esmagador de Geodos,Quebra geodos automaticamente. Precisa de carvão para funcionar.,Barra de ouro,2.0,Clint  (  Pedido Especial  ),,,,
185,Esmagador de Geodos,Quebra geodos automaticamente. Precisa de carvão para funcionar.,Pedra,50.0,Clint  (  Pedido Especial  ),,,,
186,Esmagador de Geodos,Quebra geodos automaticamente. Precisa de carvão para funcionar.,Diamante,1.0,Clint  (  Pedido Especial  ),,,,
188,Tronco de Cogumelo,"Cultiva cogumelos de vez em quando. Quanto mais árvores selvagens estiverem por perto, melhor funciona",Madeira de lei,10.0,Coleta  (Level 4),,,,
189,Tronco de Cogumelo,"Cultiva cogumelos de vez em quando. Quanto mais árvores selvagens estiverem por perto, melhor funciona",Musgo,10.0,Coleta  (Level 4),,,,
191,Máquina de Iscas,Coloque um peixe dentro para criar uma isca direcionada.,Barra de ferro,3.0,Pesca  (Level 6),,,,
192,Máquina de Iscas,Coloque um peixe dentro para criar uma isca direcionada.,Coral,3.0,Pesca  (Level 6),,,,
193,Máquina de Iscas,Coloque um peixe dentro para criar uma isca direcionada.,Ouriço-do-mar,1.0,Pesca  (Level 6),,,,
195,Máquina de maionese,Transforma ovos em maionese.,Madeira,15.0,Cultivo  nível 2,,,,
196,Máquina de maionese,Transforma ovos em maionese.,Pedra,15.0,Cultivo  nível 2,,,,
197,Máquina de maionese,Transforma ovos em maionese.,Cristal de terra,1.0,Cultivo  nível 2,,,,
198,Máquina de maionese,Transforma ovos em maionese.,Barra de cobre,1.0,Cultivo  nível 2,,,,
200,Apiário,Ponha-o no quintal e obtenha um mel delicioso!(Exceto no inverno).,Madeira,40.0,Cultivo  nível 3,,,,
201,Apiário,Ponha-o no quintal e obtenha um mel delicioso!(Exceto no inverno).,Carvão,8.0,Cultivo  nível 3,,,,
202,Apiário,Ponha-o no quintal e obtenha um mel delicioso!(Exceto no inverno).,Barra de ferro,1.0,Cultivo  nível 3,,,,
203,Apiário,Ponha-o no quintal e obtenha um mel delicioso!(Exceto no inverno).,Xarope de ácer,1.0,Cultivo  nível 3,,,,
205,Jarra de conserva,Transforma legumes em picles e frutas em geléia.,Madeira,50.0,Cultivo  nível 4,,,,
206,Jarra de conserva,Transforma legumes em picles e frutas em geléia.,Pedra,40.0,Cultivo  nível 4,,,,
207,Jarra de conserva,Transforma legumes em picles e frutas em geléia.,Carvão,8.0,Cultivo  nível 4,,,,
209,Prensa de queijo,Transforma leite em queijo.,Madeira,45.0,Cultivo  nível 6,,,,
210,Prensa de queijo,Transforma leite em queijo.,Pedra,45.0,Cultivo  nível 6,,,,
211,Prensa de queijo,Transforma leite em queijo.,Madeira de lei,10.0,Cultivo  nível 6,,,,
212,Prensa de queijo,Transforma leite em queijo.,Barra de cobre,1.0,Cultivo  nível 6,,,,
214,Tear,Transforma lã crua em roupas finas.,Madeira,60.0,Cultivo  nível 7,,,,
215,Tear,Transforma lã crua em roupas finas.,Fibra,30.0,Cultivo  nível 7,,,,
216,Tear,Transforma lã crua em roupas finas.,Alcatrão de pinho,1.0,Cultivo  nível 7,,,,
218,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,Madeira,30.0,Cultivo  nível 8,,,,
219,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,Barra de cobre,1.0,Cultivo  nível 8,,,,
220,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,Barra de ferro,1.0,Cultivo  nível 8,,,,
221,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,Resina de carvalho,1.0,Cultivo  nível 8,,,,
223,Gerador de óleo,Faz óleo gourmet de trufas.,Gosma,50.0,Cultivo  nível 8,,,,
224,Gerador de óleo,Faz óleo gourmet de trufas.,Madeira de lei,20.0,Cultivo  nível 8,,,,
225,Gerador de óleo,Faz óleo gourmet de trufas.,Barra de ouro,1.0,Cultivo  nível 8,,,,
227,Barril de madeira,Utilizado na adega para envelhecer produtos como queijo e vinho.,Madeira,20.0,Atualização de porão para a  Casa da Fazenda,,,,
228,Barril de madeira,Utilizado na adega para envelhecer produtos como queijo e vinho.,Madeira de lei,1.0,Atualização de porão para a  Casa da Fazenda,,,,
230,Defumador de Peixes,"É um tipo de Equipamento Artesanal usado para criar peixes defumados, cujo preço de venda base é o dobro do preço normal do peixe.",Madeira de lei,10.0,Peixaria  por  10 000 ouros,,,,
231,Defumador de Peixes,"É um tipo de Equipamento Artesanal usado para criar peixes defumados, cujo preço de venda base é o dobro do preço normal do peixe.",Geléia do Mar,1.0,Peixaria  por  10 000 ouros,,,,
232,Defumador de Peixes,"É um tipo de Equipamento Artesanal usado para criar peixes defumados, cujo preço de venda base é o dobro do preço normal do peixe.",Geléia do Rio,1.0,Peixaria  por  10 000 ouros,,,,
233,Defumador de Peixes,"É um tipo de Equipamento Artesanal usado para criar peixes defumados, cujo preço de venda base é o dobro do preço normal do peixe.",Geléia da Caverna,1.0,Peixaria  por  10 000 ouros,,,,
235,Desidratador,É um tipo de Equipamento Artesanal usado para criar mercadorias artesanais.,Madeira,30.0,Armazém do Pierre  por  10 000 ouros,,,,
236,Desidratador,É um tipo de Equipamento Artesanal usado para criar mercadorias artesanais.,Argila,2.0,Armazém do Pierre  por  10 000 ouros,,,,
237,Desidratador,É um tipo de Equipamento Artesanal usado para criar mercadorias artesanais.,Quartzo de fogo,1.0,Armazém do Pierre  por  10 000 ouros,,,,
239,Fertilizante básico,"Melhora a qualidade do fertilizante um pouco, aumentando sua chance de criar plantações de qualidade. Misture no fertilizante arado.",Seiva,2.0,Cultivo  nível 1,,,,
241,Fertilizante de qualidade,"Melhora a qualidade do fertilizante, aumentando sua chance de plantar colheitas de qualidade. Misture no fertilizante arado.",Seiva,2.0,Cultivo  nível 9,,,,
242,Fertilizante de qualidade,"Melhora a qualidade do fertilizante, aumentando sua chance de plantar colheitas de qualidade. Misture no fertilizante arado.",Qualquer peixe,1.0,Cultivo  nível 9,,,,
244,Fertilizante Premium  (5),"Aumenta muito a qualidade do solo, aumentando sua chance de crescer plantas de qualidade. Misture no solo arado.",Barra de irídio,1.0,Sala de Nozes do Sr. Qi  por  20,,,,
245,Fertilizante Premium  (5),"Aumenta muito a qualidade do solo, aumentando sua chance de crescer plantas de qualidade. Misture no solo arado.",Seiva,40.0,Sala de Nozes do Sr. Qi  por  20,,,,
247,Solo Foliar  (5),Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 10%. Misture no fertilizante arado.,Alcatrão de pinho,1.0,Cultivo  nível 3,,,,
248,Solo Foliar  (5),Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 10%. Misture no fertilizante arado.,Concha,1.0,Cultivo  nível 3,,,,
250,Solo Foliar Premium  (5),Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 25%. Misture no fertilizante arado.,Resina de carvalho,1.0,Cultivo  nível 8,,,,
251,Solo Foliar Premium  (5),Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 25%. Misture no fertilizante arado.,Coral,1.0,Cultivo  nível 8,,,,
253,Hiper Solo Foliar,Estimula muito a produção de folhas. Garante um aumento de crescimento de pelo menos 33%. Misture no solo arado.,Minério Radioativo,1.0,Sala de Nozes do Sr. Qi  por  30,,,,
254,Hiper Solo Foliar,Estimula muito a produção de folhas. Garante um aumento de crescimento de pelo menos 33%. Misture no solo arado.,Fragmento de Osso,3.0,Sala de Nozes do Sr. Qi  por  30,,,,
255,Hiper Solo Foliar,Estimula muito a produção de folhas. Garante um aumento de crescimento de pelo menos 33%. Misture no solo arado.,Essência solar,1.0,Sala de Nozes do Sr. Qi  por  30,,,,
257,Solo retentor,Possui uma chance de continuar úmido no próximo dia. Misture no fertilizante arado.,Pedra,2.0,Cultivo  nível 4,,,,
259,Solo retentor de qualidade  (2),Possui boa chance de continuar úmido no próximo dia. Misture no fertilizante arado.,Pedra,3.0,Cultivo  nível 7,,,,
260,Solo retentor de qualidade  (2),Possui boa chance de continuar úmido no próximo dia. Misture no fertilizante arado.,Argila,1.0,Cultivo  nível 7,,,,
262,Solo Retentor Premium,Este solo tem 100% de chance de continuar úmido no próximo dia. Misture no solo arado.,Pedra,5.0,Comerciante da Ilha  por  Fragmento de Brasa  (50),,,,
263,Solo Retentor Premium,Este solo tem 100% de chance de continuar úmido no próximo dia. Misture no solo arado.,Fibra,3.0,Comerciante da Ilha  por  Fragmento de Brasa  (50),,,,
264,Solo Retentor Premium,Este solo tem 100% de chance de continuar úmido no próximo dia. Misture no solo arado.,Argila,1.0,Comerciante da Ilha  por  Fragmento de Brasa  (50),,,,
266,Fertilizante de Árvore,"Use em um árvore para ter um crescimento rápido, até no inverno. Não funciona com árvores de frutos.",Fibra,5.0,Coleta  Nível 7,,,,
267,Fertilizante de Árvore,"Use em um árvore para ter um crescimento rápido, até no inverno. Não funciona com árvores de frutos.",Pedra,5.0,Coleta  Nível 7,,,,
269,Tocha,Provê uma quantidade moderada de luz.,Madeira,1.0,Início do jogo,,,,
270,Tocha,Provê uma quantidade moderada de luz.,Seiva,2.0,Início do jogo,,,,
272,Fogueira,Ilumina moderadamente.,Pedra,10.0,Início do jogo,,,,
273,Fogueira,Ilumina moderadamente.,Madeira,10.0,Início do jogo,,,,
274,Fogueira,Ilumina moderadamente.,Fibra,10.0,Início do jogo,,,,
276,Braseiro de madeira,Ilumina moderadamente.,Madeira,10.0,Carpintaria  por  250 ouros,,,,
277,Braseiro de madeira,Ilumina moderadamente.,Carvão,1.0,Carpintaria  por  250 ouros,,,,
278,Braseiro de madeira,Ilumina moderadamente.,Fibra,5.0,Carpintaria  por  250 ouros,,,,
280,Braseiro de pedra,Ilumina moderadamente.,Pedra,10.0,Carpintaria  por  400 ouros,,,,
281,Braseiro de pedra,Ilumina moderadamente.,Carvão,1.0,Carpintaria  por  400 ouros,,,,
282,Braseiro de pedra,Ilumina moderadamente.,Fibra,5.0,Carpintaria  por  400 ouros,,,,
284,Braseiro dourado,Ilumina moderadamente.,Barra de ouro,1.0,Carpintaria  por  1 000 ouros,,,,
285,Braseiro dourado,Ilumina moderadamente.,Carvão,1.0,Carpintaria  por  1 000 ouros,,,,
286,Braseiro dourado,Ilumina moderadamente.,Fibra,5.0,Carpintaria  por  1 000 ouros,,,,
288,Braseiro esculpido,Ilumina moderadamente.,Madeira de lei,10.0,Carpintaria  por  2 000 ouros,,,,
289,Braseiro esculpido,Ilumina moderadamente.,Carvão,1.0,Carpintaria  por  2 000 ouros,,,,
291,Braseiro de toco de árvore,Ilumina moderadamente.,Madeira de lei,5.0,Carpintaria  por  800 ouros,,,,
292,Braseiro de toco de árvore,Ilumina moderadamente.,Carvão,1.0,Carpintaria  por  800 ouros,,,,
294,Braseiro de barril,Ilumina moderadamente.,Madeira,50.0,Carpintaria  por  800 ouros,,,,
295,Braseiro de barril,Ilumina moderadamente.,Essência solar,1.0,Carpintaria  por  800 ouros,,,,
