,Nome,Descrição,Tipo,Ingredientes_item,Ingredientes_qtd,Fonte da Receita,Origem da Receita,Dura Por,Energia,Saúde
34,Espantalho,Evita que corvos ataquem suas plantações. Tem um raio limitado (cerca de 8 espaços).,diversos,Madeira,50.0,Cultivo  nível 1,,,,
34,Espantalho,Evita que corvos ataquem suas plantações. Tem um raio limitado (cerca de 8 espaços).,diversos,Carvão,1.0,Cultivo  nível 1,,,,
34,Espantalho,Evita que corvos ataquem suas plantações. Tem um raio limitado (cerca de 8 espaços).,diversos,Fibra,20.0,Cultivo  nível 1,,,,
35,Espantalho de luxo,"Previne que corvos ataquem suas plantas. Tem um grande alcance (cerca de 16 ""blocos"").",diversos,Madeira,50.0,Carta após coletar todos os  Espantalhos Raros,,,,
35,Espantalho de luxo,"Previne que corvos ataquem suas plantas. Tem um grande alcance (cerca de 16 ""blocos"").",diversos,Fibra,40.0,Carta após coletar todos os  Espantalhos Raros,,,,
35,Espantalho de luxo,"Previne que corvos ataquem suas plantas. Tem um grande alcance (cerca de 16 ""blocos"").",diversos,Minério de irídio,1.0,Carta após coletar todos os  Espantalhos Raros,,,,
36,Escadaria,Utilize-a para descer um nível nas minas.,diversos,Pedra,99.0,Mineração  nível 2,,,,
37,Munição explosiva,Utilize-a com o estilingue.,diversos,Barra de ferro,1.0,Combate  nível 8,,,,
37,Munição explosiva,Utilize-a com o estilingue.,diversos,Carvão,2.0,Combate  nível 8,,,,
38,Transmutar (Fe),Uma barra de ferro puro.,diversos,Barra de cobre,3.0,Mineração  nível 4,,,,
39,Transmutar (Au),Uma barra de ouro puro.,diversos,Barra de ferro,2.0,Mineração  nível 7,,,,
40,Totem de teletransporte: Praia,Transporta direto para a praia. Consumido após utilização.,diversos,Madeira de lei,1.0,Coleta  nível 6,,,,
40,Totem de teletransporte: Praia,Transporta direto para a praia. Consumido após utilização.,diversos,Coral,2.0,Coleta  nível 6,,,,
40,Totem de teletransporte: Praia,Transporta direto para a praia. Consumido após utilização.,diversos,Fibra,10.0,Coleta  nível 6,,,,
41,Totem de teletransporte: Montanhas,Transporta direto para as montanhas. Consumido após utilização.,diversos,Madeira de lei,1.0,Coleta  nível 7,,,,
41,Totem de teletransporte: Montanhas,Transporta direto para as montanhas. Consumido após utilização.,diversos,Barra de ferro,1.0,Coleta  nível 7,,,,
41,Totem de teletransporte: Montanhas,Transporta direto para as montanhas. Consumido após utilização.,diversos,Pedra,25.0,Coleta  nível 7,,,,
42,Totem de teletransporte: Fazenda,Transporta direto para a sua casa. Consumido após utilização.,diversos,Madeira de lei,1.0,Coleta  nível 8,,,,
42,Totem de teletransporte: Fazenda,Transporta direto para a sua casa. Consumido após utilização.,diversos,Mel,1.0,Coleta  nível 8,,,,
42,Totem de teletransporte: Fazenda,Transporta direto para a sua casa. Consumido após utilização.,diversos,Fibra,20.0,Coleta  nível 8,,,,
43,Totem de Teletransporte: Deserto,Transporta direto para o Deserto Calico. Consumido após utilização.,diversos,Madeira de lei,2.0,Comerciante do Deserto  por  Barra de irídio  (10),,,,
43,Totem de Teletransporte: Deserto,Transporta direto para o Deserto Calico. Consumido após utilização.,diversos,Coco,1.0,Comerciante do Deserto  por  Barra de irídio  (10),,,,
43,Totem de Teletransporte: Deserto,Transporta direto para o Deserto Calico. Consumido após utilização.,diversos,Minério de irídio,4.0,Comerciante do Deserto  por  Barra de irídio  (10),,,,
44,Totem de Teletransporte: Ilha,Teletransporta direto para a Ilha Gengibre. Consumido após utilização.,diversos,Madeira de lei,5.0,Loja da Caverna do Vulcão  por  10 000 ouros,,,,
44,Totem de Teletransporte: Ilha,Teletransporta direto para a Ilha Gengibre. Consumido após utilização.,diversos,Dente de Dragão,1.0,Loja da Caverna do Vulcão  por  10 000 ouros,,,,
44,Totem de Teletransporte: Ilha,Teletransporta direto para a Ilha Gengibre. Consumido após utilização.,diversos,Gengibre,1.0,Loja da Caverna do Vulcão  por  10 000 ouros,,,,
45,Totem de chuva,Ative para aumentar grandemente a chance de chuva para amanhã. Consumido após utilização.,diversos,Madeira de lei,1.0,Coleta  nível 9,,,,
45,Totem de chuva,Ative para aumentar grandemente a chance de chuva para amanhã. Consumido após utilização.,diversos,Óleo de trufas,1.0,Coleta  nível 9,,,,
45,Totem de chuva,Ative para aumentar grandemente a chance de chuva para amanhã. Consumido após utilização.,diversos,Alcatrão de pinho,5.0,Coleta  nível 9,,,,
46,Carvoaria,Transforma 10 pedaços de madeira em um grande pedaço de carvão.,equipamento_refino,Madeira,20.0,Coleta  nível 4,,,,
46,Carvoaria,Transforma 10 pedaços de madeira em um grande pedaço de carvão.,equipamento_refino,Barra de ouro,1.0,Coleta  nível 4,,,,
47,Cristalário,Insira uma joia de sua escolha e ele a copiará.,equipamento_refino,Pedra,99.0,Mineração  nível 9,,,,
47,Cristalário,Insira uma joia de sua escolha e ele a copiará.,equipamento_refino,Barra de ouro,5.0,Mineração  nível 9,,,,
47,Cristalário,Insira uma joia de sua escolha e ele a copiará.,equipamento_refino,Barra de irídio,2.0,Mineração  nível 9,,,,
47,Cristalário,Insira uma joia de sua escolha e ele a copiará.,equipamento_refino,Conjunto de pilhas,1.0,Mineração  nível 9,,,,
48,Fornalha,Transforma minério e carvão em barras de metal.,equipamento_refino,Minério de cobre,20.0,Clint  (na manhã seguinte ao coletar 1+  Minério de cobre  ),,,,
48,Fornalha,Transforma minério e carvão em barras de metal.,equipamento_refino,Pedra,25.0,Clint  (na manhã seguinte ao coletar 1+  Minério de cobre  ),,,,
49,Para-raios,Coleciona energia de tempestades de raios e transforma-a em baterias.,equipamento_refino,Barra de ferro,1.0,Coleta  nível 6,,,,
49,Para-raios,Coleciona energia de tempestades de raios e transforma-a em baterias.,equipamento_refino,Quartzo refinado,1.0,Coleta  nível 6,,,,
49,Para-raios,Coleciona energia de tempestades de raios e transforma-a em baterias.,equipamento_refino,Asa de morcego,5.0,Coleta  nível 6,,,,
50,Máquina de reciclagem,Transforma restos de pesca em recursos.,equipamento_refino,Madeira,25.0,Pesca  nível 4,,,,
50,Máquina de reciclagem,Transforma restos de pesca em recursos.,equipamento_refino,Pedra,25.0,Pesca  nível 4,,,,
50,Máquina de reciclagem,Transforma restos de pesca em recursos.,equipamento_refino,Barra de ferro,1.0,Pesca  nível 4,,,,
51,Gerador de sementes,Ponha produtos colhidos dentro dele para produzir diversos tipos de sementes. Não funciona com árvores frutíferas.,equipamento_refino,Madeira,25.0,Cultivo  nível 9,,,,
51,Gerador de sementes,Ponha produtos colhidos dentro dele para produzir diversos tipos de sementes. Não funciona com árvores frutíferas.,equipamento_refino,Carvão,10.0,Cultivo  nível 9,,,,
51,Gerador de sementes,Ponha produtos colhidos dentro dele para produzir diversos tipos de sementes. Não funciona com árvores frutíferas.,equipamento_refino,Barra de ouro,1.0,Cultivo  nível 9,,,,
52,Incubador de gosmas,Chocas os ovos de gosmas. Permite criar gosmas em ambientes externos.,equipamento_refino,Barra de irídio,2.0,Combate  nível 8,,,,
52,Incubador de gosmas,Chocas os ovos de gosmas. Permite criar gosmas em ambientes externos.,equipamento_refino,Gosma,100.0,Combate  nível 8,,,,
53,Incubadora de Avestruzes,Choca ovos de avestruz em bebês avestruzes. Coloque em um celeiro.,equipamento_refino,Fragmento de Osso,50.0,Complete a coleção do  Escritório local da ilha,,,,
53,Incubadora de Avestruzes,Choca ovos de avestruz em bebês avestruzes. Coloque em um celeiro.,equipamento_refino,Madeira de lei,50.0,Complete a coleção do  Escritório local da ilha,,,,
53,Incubadora de Avestruzes,Choca ovos de avestruz em bebês avestruzes. Coloque em um celeiro.,equipamento_refino,Fragmento de Brasa,20.0,Complete a coleção do  Escritório local da ilha,,,,
54,Prensa de Gosmas,Comprime 100 pedaços de gosmas em um ovo de gosmas. É um milagre científico!,equipamento_refino,Carvão,25.0,Combate  nível 6,,,,
54,Prensa de Gosmas,Comprime 100 pedaços de gosmas em um ovo de gosmas. É um milagre científico!,equipamento_refino,Quartzo de fogo,1.0,Combate  nível 6,,,,
54,Prensa de Gosmas,Comprime 100 pedaços de gosmas em um ovo de gosmas. É um milagre científico!,equipamento_refino,Conjunto de pilhas,1.0,Combate  nível 6,,,,
55,Torneirinha,"Ponha em um ácer, carvalho ou pinheiro e espere o reservatório se encher!",equipamento_refino,Madeira,40.0,Coleta  nível 3,,,,
55,Torneirinha,"Ponha em um ácer, carvalho ou pinheiro e espere o reservatório se encher!",equipamento_refino,Barra de cobre,2.0,Coleta  nível 3,,,,
56,Torneirinha Pesada,"Ponha em um ácer, carvalho ou pinheiro e espere o reservatório se encher! Funciona duas vezes mais rápido que uma torneirinha normal.",equipamento_refino,Madeira de lei,30.0,Sala de Nozes do Sr. Qi  por  20,,,,
56,Torneirinha Pesada,"Ponha em um ácer, carvalho ou pinheiro e espere o reservatório se encher! Funciona duas vezes mais rápido que uma torneirinha normal.",equipamento_refino,Barra Radioativa,1.0,Sala de Nozes do Sr. Qi  por  20,,,,
57,Cesto de minhocas,Produz iscas regularmente. As minhocas se sustentam sozinhas.,equipamento_refino,Madeira de lei,25.0,Pesca  nível 4,,,,
57,Cesto de minhocas,Produz iscas regularmente. As minhocas se sustentam sozinhas.,equipamento_refino,Barra de ouro,1.0,Pesca  nível 4,,,,
57,Cesto de minhocas,Produz iscas regularmente. As minhocas se sustentam sozinhas.,equipamento_refino,Barra de ferro,1.0,Pesca  nível 4,,,,
57,Cesto de minhocas,Produz iscas regularmente. As minhocas se sustentam sozinhas.,equipamento_refino,Fibra,50.0,Pesca  nível 4,,,,
58,Cesto de Minhocas de Luxo,Produz iscas de luxo regularmente. As minhocas se sustentam sozinhas.,equipamento_refino,Cesto de minhocas,1.0,Pesca  Nível 8,,,,
58,Cesto de Minhocas de Luxo,Produz iscas de luxo regularmente. As minhocas se sustentam sozinhas.,equipamento_refino,Musgo,30.0,Pesca  Nível 8,,,,
59,Moedor de Ossos,Transforma itens de osso em fertilizantes.,equipamento_refino,Fragmento de Osso,10.0,Gunther  (  Pedido Especial  ),,,,
59,Moedor de Ossos,Transforma itens de osso em fertilizantes.,equipamento_refino,Argila,3.0,Gunther  (  Pedido Especial  ),,,,
59,Moedor de Ossos,Transforma itens de osso em fertilizantes.,equipamento_refino,Pedra,20.0,Gunther  (  Pedido Especial  ),,,,
60,Esmagador de Geodos,Quebra geodos automaticamente. Precisa de carvão para funcionar.,equipamento_refino,Barra de ouro,2.0,Clint  (  Pedido Especial  ),,,,
60,Esmagador de Geodos,Quebra geodos automaticamente. Precisa de carvão para funcionar.,equipamento_refino,Pedra,50.0,Clint  (  Pedido Especial  ),,,,
60,Esmagador de Geodos,Quebra geodos automaticamente. Precisa de carvão para funcionar.,equipamento_refino,Diamante,1.0,Clint  (  Pedido Especial  ),,,,
61,Tronco de Cogumelo,"Cultiva cogumelos de vez em quando. Quanto mais árvores selvagens estiverem por perto, melhor funciona",equipamento_refino,Madeira de lei,10.0,Coleta  (Level 4),,,,
61,Tronco de Cogumelo,"Cultiva cogumelos de vez em quando. Quanto mais árvores selvagens estiverem por perto, melhor funciona",equipamento_refino,Musgo,10.0,Coleta  (Level 4),,,,
62,Máquina de Iscas,Coloque um peixe dentro para criar uma isca direcionada.,equipamento_refino,Barra de ferro,3.0,Pesca  (Level 6),,,,
62,Máquina de Iscas,Coloque um peixe dentro para criar uma isca direcionada.,equipamento_refino,Coral,3.0,Pesca  (Level 6),,,,
62,Máquina de Iscas,Coloque um peixe dentro para criar uma isca direcionada.,equipamento_refino,Ouriço-do-mar,1.0,Pesca  (Level 6),,,,
63,Máquina de maionese,Transforma ovos em maionese.,equipamentos_artesanais,Madeira,15.0,Cultivo  nível 2,,,,
63,Máquina de maionese,Transforma ovos em maionese.,equipamentos_artesanais,Pedra,15.0,Cultivo  nível 2,,,,
63,Máquina de maionese,Transforma ovos em maionese.,equipamentos_artesanais,Cristal de terra,1.0,Cultivo  nível 2,,,,
63,Máquina de maionese,Transforma ovos em maionese.,equipamentos_artesanais,Barra de cobre,1.0,Cultivo  nível 2,,,,
64,Apiário,Ponha-o no quintal e obtenha um mel delicioso!(Exceto no inverno).,equipamentos_artesanais,Madeira,40.0,Cultivo  nível 3,,,,
64,Apiário,Ponha-o no quintal e obtenha um mel delicioso!(Exceto no inverno).,equipamentos_artesanais,Carvão,8.0,Cultivo  nível 3,,,,
64,Apiário,Ponha-o no quintal e obtenha um mel delicioso!(Exceto no inverno).,equipamentos_artesanais,Barra de ferro,1.0,Cultivo  nível 3,,,,
64,Apiário,Ponha-o no quintal e obtenha um mel delicioso!(Exceto no inverno).,equipamentos_artesanais,Xarope de ácer,1.0,Cultivo  nível 3,,,,
65,Jarra de conserva,Transforma legumes em picles e frutas em geléia.,equipamentos_artesanais,Madeira,50.0,Cultivo  nível 4,,,,
65,Jarra de conserva,Transforma legumes em picles e frutas em geléia.,equipamentos_artesanais,Pedra,40.0,Cultivo  nível 4,,,,
65,Jarra de conserva,Transforma legumes em picles e frutas em geléia.,equipamentos_artesanais,Carvão,8.0,Cultivo  nível 4,,,,
66,Prensa de queijo,Transforma leite em queijo.,equipamentos_artesanais,Madeira,45.0,Cultivo  nível 6,,,,
66,Prensa de queijo,Transforma leite em queijo.,equipamentos_artesanais,Pedra,45.0,Cultivo  nível 6,,,,
66,Prensa de queijo,Transforma leite em queijo.,equipamentos_artesanais,Madeira de lei,10.0,Cultivo  nível 6,,,,
66,Prensa de queijo,Transforma leite em queijo.,equipamentos_artesanais,Barra de cobre,1.0,Cultivo  nível 6,,,,
67,Tear,Transforma lã crua em roupas finas.,equipamentos_artesanais,Madeira,60.0,Cultivo  nível 7,,,,
67,Tear,Transforma lã crua em roupas finas.,equipamentos_artesanais,Fibra,30.0,Cultivo  nível 7,,,,
67,Tear,Transforma lã crua em roupas finas.,equipamentos_artesanais,Alcatrão de pinho,1.0,Cultivo  nível 7,,,,
68,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,equipamentos_artesanais,Madeira,30.0,Cultivo  nível 8,,,,
68,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,equipamentos_artesanais,Barra de cobre,1.0,Cultivo  nível 8,,,,
68,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,equipamentos_artesanais,Barra de ferro,1.0,Cultivo  nível 8,,,,
68,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,equipamentos_artesanais,Resina de carvalho,1.0,Cultivo  nível 8,,,,
69,Gerador de óleo,Faz óleo gourmet de trufas.,equipamentos_artesanais,Gosma,50.0,Cultivo  nível 8,,,,
69,Gerador de óleo,Faz óleo gourmet de trufas.,equipamentos_artesanais,Madeira de lei,20.0,Cultivo  nível 8,,,,
69,Gerador de óleo,Faz óleo gourmet de trufas.,equipamentos_artesanais,Barra de ouro,1.0,Cultivo  nível 8,,,,
70,Barril de madeira,Utilizado na adega para envelhecer produtos como queijo e vinho.,equipamentos_artesanais,Madeira,20.0,Atualização de porão para a  Casa da Fazenda,,,,
70,Barril de madeira,Utilizado na adega para envelhecer produtos como queijo e vinho.,equipamentos_artesanais,Madeira de lei,1.0,Atualização de porão para a  Casa da Fazenda,,,,
71,Defumador de Peixes,"É um tipo de Equipamento Artesanal usado para criar peixes defumados, cujo preço de venda base é o dobro do preço normal do peixe.",equipamentos_artesanais,Madeira de lei,10.0,Peixaria  por  10 000 ouros,,,,
71,Defumador de Peixes,"É um tipo de Equipamento Artesanal usado para criar peixes defumados, cujo preço de venda base é o dobro do preço normal do peixe.",equipamentos_artesanais,Geléia do Mar,1.0,Peixaria  por  10 000 ouros,,,,
71,Defumador de Peixes,"É um tipo de Equipamento Artesanal usado para criar peixes defumados, cujo preço de venda base é o dobro do preço normal do peixe.",equipamentos_artesanais,Geléia do Rio,1.0,Peixaria  por  10 000 ouros,,,,
71,Defumador de Peixes,"É um tipo de Equipamento Artesanal usado para criar peixes defumados, cujo preço de venda base é o dobro do preço normal do peixe.",equipamentos_artesanais,Geléia da Caverna,1.0,Peixaria  por  10 000 ouros,,,,
72,Desidratador,É um tipo de Equipamento Artesanal usado para criar mercadorias artesanais.,equipamentos_artesanais,Madeira,30.0,Armazém do Pierre  por  10 000 ouros,,,,
72,Desidratador,É um tipo de Equipamento Artesanal usado para criar mercadorias artesanais.,equipamentos_artesanais,Argila,2.0,Armazém do Pierre  por  10 000 ouros,,,,
72,Desidratador,É um tipo de Equipamento Artesanal usado para criar mercadorias artesanais.,equipamentos_artesanais,Quartzo de fogo,1.0,Armazém do Pierre  por  10 000 ouros,,,,
73,Fertilizante básico,"Melhora a qualidade do fertilizante um pouco, aumentando sua chance de criar plantações de qualidade. Misture no fertilizante arado.",fertilizantes,Seiva,2.0,Cultivo  nível 1,,,,
74,Fertilizante de qualidade,"Melhora a qualidade do fertilizante, aumentando sua chance de plantar colheitas de qualidade. Misture no fertilizante arado.",fertilizantes,Seiva,2.0,Cultivo  nível 9,,,,
74,Fertilizante de qualidade,"Melhora a qualidade do fertilizante, aumentando sua chance de plantar colheitas de qualidade. Misture no fertilizante arado.",fertilizantes,Qualquer peixe,1.0,Cultivo  nível 9,,,,
75,Fertilizante Premium  (5),"Aumenta muito a qualidade do solo, aumentando sua chance de crescer plantas de qualidade. Misture no solo arado.",fertilizantes,Barra de irídio,1.0,Sala de Nozes do Sr. Qi  por  20,,,,
75,Fertilizante Premium  (5),"Aumenta muito a qualidade do solo, aumentando sua chance de crescer plantas de qualidade. Misture no solo arado.",fertilizantes,Seiva,40.0,Sala de Nozes do Sr. Qi  por  20,,,,
76,Solo Foliar  (5),Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 10%. Misture no fertilizante arado.,fertilizantes,Alcatrão de pinho,1.0,Cultivo  nível 3,,,,
76,Solo Foliar  (5),Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 10%. Misture no fertilizante arado.,fertilizantes,Concha,1.0,Cultivo  nível 3,,,,
77,Solo Foliar Premium  (5),Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 25%. Misture no fertilizante arado.,fertilizantes,Resina de carvalho,1.0,Cultivo  nível 8,,,,
77,Solo Foliar Premium  (5),Estimula a produção de folhas. Garante um aumento de crescimento de pelo menos 25%. Misture no fertilizante arado.,fertilizantes,Coral,1.0,Cultivo  nível 8,,,,
78,Hiper Solo Foliar,Estimula muito a produção de folhas. Garante um aumento de crescimento de pelo menos 33%. Misture no solo arado.,fertilizantes,Minério Radioativo,1.0,Sala de Nozes do Sr. Qi  por  30,,,,
78,Hiper Solo Foliar,Estimula muito a produção de folhas. Garante um aumento de crescimento de pelo menos 33%. Misture no solo arado.,fertilizantes,Fragmento de Osso,3.0,Sala de Nozes do Sr. Qi  por  30,,,,
78,Hiper Solo Foliar,Estimula muito a produção de folhas. Garante um aumento de crescimento de pelo menos 33%. Misture no solo arado.,fertilizantes,Essência solar,1.0,Sala de Nozes do Sr. Qi  por  30,,,,
79,Solo retentor,Possui uma chance de continuar úmido no próximo dia. Misture no fertilizante arado.,fertilizantes,Pedra,2.0,Cultivo  nível 4,,,,
80,Solo retentor de qualidade  (2),Possui boa chance de continuar úmido no próximo dia. Misture no fertilizante arado.,fertilizantes,Pedra,3.0,Cultivo  nível 7,,,,
80,Solo retentor de qualidade  (2),Possui boa chance de continuar úmido no próximo dia. Misture no fertilizante arado.,fertilizantes,Argila,1.0,Cultivo  nível 7,,,,
81,Solo Retentor Premium,Este solo tem 100% de chance de continuar úmido no próximo dia. Misture no solo arado.,fertilizantes,Pedra,5.0,Comerciante da Ilha  por  Fragmento de Brasa  (50),,,,
81,Solo Retentor Premium,Este solo tem 100% de chance de continuar úmido no próximo dia. Misture no solo arado.,fertilizantes,Fibra,3.0,Comerciante da Ilha  por  Fragmento de Brasa  (50),,,,
