,Nome,Descrição,Preço de Venda,Localização,Usado em
39,Ovo-trovão,"De acordo com a lenda, espíritos zangados lançavam pedras uns nos outros.",100.0,Geodo  Omnigeodo,
40,Pirita,"Conhecida comumente como ""Ouro dos Tolos"".",120.0,Geodo congelado  Omnigeodo,
41,Pedra do Oceano,Uma velha lenda diz que estas pedras são mosaicos das antigas sereias.,220.0,Geodo congelado  Omnigeodo,
42,Cristal-fantasma,Há uma aura fria em volta deste cristal.,200.0,Geodo congelado  Omnigeodo,
43,Jaspe,"Quando polida, esta joia emite um brilho maravilhoso. Estimada por civilizações antigas por milhares de anos.",150.0,Geodo de magma  Omnigeodo,
44,Celestina,Algumas formas de vida antiga eram feitas desta substância.,125.0,Geodo  Omnigeodo,
45,Mármore,Um material muito popular para esculturas e construções.,110.0,Geodo congelado  Omnigeodo,Braseiro de mármore
46,Arenito,"Um tipo muito comum de pedra, com linhas vermelhas e marrons.",60.0,Geodo  Omnigeodo,
47,Granito,Um mineral salpicado e frequentemente usado em construções.,75.0,Geodo  Omnigeodo,
48,Basalto,Se forma perto do magma quente.,175.0,Geodo de magma  Omnigeodo,
49,Calcário,Um tipo muito comum de pedra. Não é muito valioso.,15.0,Geodo  Omnigeodo,
50,Pedra-sabão,"Por causa de sua consistência macia, esta pedra é popular para esculturas.",120.0,Geodo congelado  Omnigeodo,
51,Hematita,Um mineral de ferro com propriedades magnéticas interessantes.,150.0,Geodo congelado  Omnigeodo,
52,Lamito,Uma pedra com poros pequenos feita de argila antiga ou lama.,25.0,Geodo  Omnigeodo,
53,Obsidiana,Vidro vulcânico que se forma quando o magma esfria rapidamente.,200.0,Geodo de magma  Omnigeodo,Sebastian  ama
54,Ardósia,"Extremamente resistente à água, tornando-o um excelente material para coberturas.",85.0,Geodo  Omnigeodo,
55,Pedra de fada,Um velho minerador sugere que estas pedras são feitas dos ossos fossilizados de fadas.,250.0,Geodo congelado  Omnigeodo,
56,Fragmentos de estrela,Ninguém sabe de onde vieram. Alguns cientistas dizem que a estrutura microscópica mostra uma irregularidade fora do comum.,500.0,Geodo de magma  Omnigeodo,
